LUCA_Pfams,Freq,ancestor,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,U,O,concat_length
PF00133,1,LUCA,0.066668542,0.053377916,0.03454076,0.070182792,0.013696918,0.073263808,0.029911643,0.07056051,0.026273909,0.056263725,0.076126145,0.065545348,0.024287716,0.043184104,0.053708853,0.04696263,0.053565367,0.031107009,0.041068222,0.069704083,0,0,24497116
PF00144,1,LUCA,0.087530194,0.050958638,0.038419954,0.058181999,0.005580789,0.050946441,0.034097994,0.094059078,0.023987307,0.048324286,0.096073545,0.045988998,0.024385122,0.040984935,0.052222042,0.062322643,0.064550678,0.017078082,0.040161509,0.064145767,0,0,17053144
PF00150,1,LUCA,0.087469175,0.05068129,0.057645648,0.069643873,0.009450503,0.05893556,0.034717314,0.072600749,0.027647603,0.05376453,0.075679612,0.044857132,0.020772838,0.042126721,0.04969226,0.049746833,0.04983701,0.037263285,0.045295177,0.062172889,0,0,3426590
PF00156,4,preLUCA,0.098835995,0.063943197,0.023997863,0.067903494,0.008738531,0.063757255,0.025894674,0.083178365,0.0161388,0.077109003,0.097612924,0.059159473,0.017093783,0.028791738,0.03723214,0.047818796,0.051828816,0.004904093,0.0252344,0.100826658,0,0,9653568
PF00171,1,LUCA,0.128049074,0.053958989,0.033975013,0.053078344,0.011324124,0.068319308,0.030373878,0.090337827,0.018183114,0.056389035,0.083054145,0.042690732,0.020062422,0.036527746,0.050157027,0.051204664,0.054639395,0.010898036,0.02201961,0.084757516,0,0,45840277
PF00181,1,LUCA,0.075457714,0.110157868,0.04570115,0.061896924,0.003281956,0.048094863,0.024655981,0.110770136,0.034150682,0.081997663,0.055544539,0.074576907,0.010406906,0.022528329,0.040636098,0.033596253,0.042802585,0.001532736,0.050971945,0.071238765,0,0,1210254
PF00202,1,LUCA,0.108669491,0.050257201,0.031721102,0.050220068,0.01482437,0.065849925,0.028795094,0.101749206,0.027432349,0.059931144,0.095015186,0.043205075,0.023621862,0.042995817,0.047507631,0.045953032,0.052104363,0.00828228,0.029112,0.072752806,0,3.75E-08,26660896
PF00206,1,LUCA,0.114941563,0.056117285,0.038154992,0.05319225,0.0093594,0.070015114,0.039305531,0.072102396,0.028735024,0.060634496,0.100788427,0.047906958,0.027113066,0.034869333,0.037517457,0.058913778,0.054797312,0.008740152,0.020080592,0.066714873,0,0,12960873
PF00210,1,LUCA,0.093081118,0.043998233,0.039265816,0.066426578,0.005715968,0.110123906,0.045422845,0.045671807,0.03663451,0.062428443,0.115880138,0.051785806,0.028338871,0.038189442,0.019688233,0.044524126,0.048378109,0.014948439,0.036058825,0.053438786,0,0,3253517
PF00238,1,LUCA,0.087892362,0.098058894,0.037222409,0.054116073,0.009959669,0.048729471,0.024648393,0.0889046,0.005572826,0.082443846,0.052095917,0.086954518,0.022980528,0.023925092,0.038012424,0.050400695,0.044740996,0.002245257,0.013927506,0.127168523,0,0,2083503
PF00248,2,preLUCA,0.102305415,0.062491787,0.034508927,0.065359362,0.008090047,0.073302201,0.038181398,0.079247994,0.024270794,0.056750186,0.103353256,0.041980834,0.018097902,0.03155459,0.041958489,0.054102838,0.050304851,0.016700858,0.03162256,0.065815709,0,0,21391595
PF00270,3,preLUCA,0.095042985,0.06353187,0.024491912,0.053634836,0.008340892,0.058526252,0.047819071,0.071221113,0.021531149,0.068922975,0.119719981,0.050923112,0.02312583,0.031377887,0.046031939,0.049950468,0.065451546,0.005442181,0.018306711,0.076607291,0,0,20498767
PF00271,2,preLUCA,0.086390638,0.089603041,0.034166393,0.060336823,0.007978122,0.066354789,0.04143025,0.078617325,0.027283413,0.068519058,0.099959108,0.047603131,0.018700162,0.034381351,0.026888006,0.049489889,0.053361321,0.00467448,0.023468178,0.080794522,0,0,18719945
PF00281,1,LUCA,0.096086052,0.058111408,0.045665562,0.035693807,0.003255607,0.052010066,0.042756116,0.071399295,0.007197163,0.088438668,0.072559888,0.123562266,0.032298038,0.019383919,0.037131541,0.049528542,0.054863235,0.001567278,0.00317703,0.105314517,0,0,941760
PF00293,2,preLUCA,0.081521175,0.065116549,0.025437117,0.058667397,0.01076576,0.106638872,0.028606775,0.079477144,0.027068778,0.053132356,0.095840126,0.043692362,0.014279953,0.038980629,0.053360401,0.042384915,0.047413277,0.021089741,0.028067109,0.078459565,0,0,13975326
PF00294,1,LUCA,0.12239118,0.052039952,0.033003697,0.062831929,0.012752991,0.059586218,0.026805947,0.096149179,0.019120781,0.053775783,0.096353217,0.041046299,0.017664506,0.035897353,0.040931181,0.056669549,0.058217874,0.008815914,0.022637316,0.083309135,0,0,18207415
PF00296,1,LUCA,0.124104901,0.071665246,0.021967135,0.05911951,0.0050102,0.067920621,0.033311155,0.088558568,0.027509815,0.045284498,0.091263479,0.028080042,0.017857664,0.038913488,0.05715908,0.052403022,0.05513609,0.017348823,0.028671309,0.06871535,0,0,16160232
PF00298,1,LUCA,0.133841565,0.035140573,0.031504225,0.04107927,0.005676271,0.062467853,0.029815952,0.078025333,0.00403436,0.068290208,0.070523452,0.123659441,0.039344635,0.00606991,0.046784408,0.066382372,0.069373152,0.002528911,0.003495513,0.081962596,0,0,1143180
PF00326,1,LUCA,0.094593047,0.05468102,0.040339664,0.06325509,0.006572083,0.05487629,0.033685557,0.094554428,0.030189504,0.045594568,0.084660349,0.045410611,0.025913674,0.044356475,0.044003356,0.052137061,0.047376916,0.022523035,0.048893065,0.066384208,0,0,9192367
PF00333,1,LUCA,0.099325078,0.08082103,0.042877629,0.038226125,0.004357656,0.049308902,0.024200239,0.122969139,0.007691017,0.059773394,0.04663832,0.114749752,0.016892985,0.037524414,0.019191855,0.037001606,0.034745377,0.001025222,0.010813957,0.151866302,0,0,1078791
PF00338,1,LUCA,0.059807027,0.091338085,0.020555837,0.072732629,0.005489736,0.061459172,0.025427234,0.041318193,0.029346826,0.092433238,0.083232858,0.09009594,0.018561723,0.016941164,0.061995511,0.05255885,0.07157795,0.004374539,0.016963638,0.08378985,0,0,1646345
PF00355,1,LUCA,0.077994321,0.058611733,0.03206649,0.059359617,0.046950102,0.055327684,0.029085097,0.103116313,0.042142633,0.041530254,0.075339244,0.041944754,0.011904985,0.037123151,0.061628769,0.047656197,0.048391483,0.020488435,0.029371161,0.079967577,0,0,3254519
PF00361,1,LUCA,0.132731097,0.023896852,0.018770236,0.022549296,0.005560345,0.02283069,0.019110792,0.098536454,0.020495355,0.070340941,0.144128999,0.026964596,0.039846726,0.071967456,0.035724926,0.062553163,0.054014566,0.016720663,0.033552162,0.079704685,0,0,16023826
PF00380,1,LUCA,0.094850922,0.119015196,0.031046535,0.043154285,0.002367763,0.052313715,0.037826344,0.100046056,0.010262204,0.051019319,0.076184391,0.097871337,0.016177343,0.033207973,0.037282783,0.046304663,0.04764981,0.003711013,0.025842389,0.073865957,0,0,2108319
PF00384,1,LUCA,0.106469247,0.0588583,0.041287283,0.058762396,0.011557163,0.060258543,0.031735251,0.085032426,0.025577811,0.052107089,0.086126542,0.042702461,0.025625428,0.036123703,0.05030736,0.051985602,0.058781818,0.019167955,0.029496322,0.068037299,0.00010513,0,14931692
PF00392,1,LUCA,0.0917705,0.104803822,0.019615938,0.033829689,0.003435367,0.08509933,0.048189336,0.086317047,0.01314306,0.060527081,0.119183946,0.037471822,0.013922952,0.021252835,0.037344288,0.05901235,0.049058628,0.003862316,0.027308368,0.084851324,0,0,7080467
PF00410,1,LUCA,0.070944899,0.069942937,0.038450465,0.04460136,0.008858265,0.06253026,0.025395476,0.091352216,0.0125828,0.084886221,0.08617426,0.090197311,0.019933285,0.021540571,0.038051062,0.061162064,0.043330826,0.005839481,0.038520026,0.085706217,0,0,2170741
PF00411,1,LUCA,0.126064116,0.079429557,0.04399362,0.031202629,0.010409202,0.037951464,0.026869928,0.114003742,0.02715822,0.073074651,0.034137584,0.065421913,0.018316928,0.024984063,0.053202301,0.071317321,0.071952708,0.006602608,0.011679975,0.072227469,0,0,1921665
PF00420,1,LUCA,0.126322778,0.040225361,0.03920529,0.028208698,0.006469092,0.02742261,0.018962363,0.074221375,0.011845498,0.102792573,0.155780919,0.016623693,0.034911773,0.05876817,0.020283845,0.048434336,0.047905858,0.003163372,0.029188427,0.10926397,0,0,1735174
PF00437,1,LUCA,0.078949925,0.074857454,0.0334257,0.057647375,0.006232677,0.063383393,0.035787459,0.067911628,0.024790244,0.082069524,0.107589249,0.037686805,0.027325955,0.029408873,0.045840097,0.061929116,0.067567397,0.003483706,0.017026886,0.077086535,0,0,15797545
PF00440,2,preLUCA,0.153496814,0.062381964,0.020363721,0.048534274,0.004604567,0.068567303,0.02428301,0.075292093,0.024938449,0.058277698,0.103427759,0.048924083,0.016368939,0.04955978,0.014569312,0.058440464,0.054893597,0.003529704,0.043005608,0.066540858,0,0,8914628
PF00441,1,LUCA,0.145808045,0.076233525,0.024762869,0.044944159,0.011387734,0.064801496,0.04754377,0.089447477,0.021876583,0.058712216,0.09216111,0.039689471,0.03530937,0.030851319,0.02030844,0.043539085,0.048747138,0.010712816,0.033570309,0.059593066,0,0,13251978
PF00448,2,preLUCA,0.115886653,0.044948367,0.028118936,0.068644726,0.005436409,0.05220989,0.041377242,0.093978482,0.016621627,0.066016055,0.096154776,0.068891773,0.021423657,0.033854458,0.03194854,0.037996771,0.063865253,0.003345708,0.015622781,0.093657894,0,0,6472471
PF00501,3,preLUCA,0.101767513,0.060705966,0.026339272,0.060864488,0.011703291,0.057898991,0.02666705,0.091425667,0.023089491,0.051373269,0.097152513,0.033458932,0.021231815,0.033982744,0.058523132,0.051118066,0.062941893,0.01580122,0.032944262,0.081010426,0,1.58E-08,63341501
PF00528,6,preLUCA,0.107294308,0.044844096,0.025761313,0.024876666,0.003755408,0.026281383,0.025501471,0.081250567,0.008200646,0.088420441,0.144410587,0.01979531,0.032420347,0.061125146,0.048941881,0.056719147,0.055816178,0.019467614,0.031100041,0.094017452,1.79E-07,0,72478682
PF00534,3,preLUCA,0.09449788,0.057085914,0.03540272,0.054900789,0.012372914,0.072365711,0.029742781,0.081168401,0.018998224,0.062540805,0.112081326,0.055127341,0.020287285,0.039709246,0.048801073,0.052568914,0.037840185,0.0080737,0.027853278,0.078581514,0,0,25437904
PF00553,1,LUCA,0.106037833,0.022471857,0.075384437,0.032637281,0.015709191,0.021308507,0.038485772,0.131502975,0.008370406,0.029253567,0.040601387,0.017347086,0.004683555,0.040414108,0.038357217,0.099595764,0.131417271,0.045557924,0.022105235,0.078758628,0,0,630077
PF00557,1,LUCA,0.093346421,0.055402506,0.02949962,0.057656578,0.012904727,0.076336793,0.026504881,0.100352548,0.034743006,0.06880375,0.075468228,0.045500017,0.023544292,0.03185981,0.044604883,0.045686161,0.055536708,0.009398871,0.032675077,0.080175124,0,0,12533314
PF00570,1,LUCA,0.109831805,0.088570453,0.022085258,0.050537816,0.003795434,0.083135398,0.038418645,0.058230648,0.01285568,0.056678426,0.12309261,0.066829324,0.022101646,0.037602021,0.047140224,0.039639484,0.038310308,0.011582038,0.024606141,0.064956642,0,0,1098425
PF00571,4,preLUCA,0.067164952,0.059479118,0.029639565,0.081024484,0.005515456,0.068403567,0.023507151,0.05695424,0.020760305,0.085529222,0.098857837,0.050016593,0.037261483,0.020866445,0.040013174,0.051057678,0.063626465,0.002047753,0.016523809,0.121750705,0,0,13830770
PF00582,1,LUCA,0.114247748,0.062621003,0.024313359,0.060678718,0.008576745,0.074510404,0.026926895,0.06985422,0.02918275,0.05923893,0.097314132,0.041834362,0.018901633,0.024610515,0.039259552,0.062689137,0.051893211,0.006030744,0.02079519,0.106520752,0,0,11697561
PF00583,4,preLUCA,0.099485988,0.073827259,0.031401784,0.049842066,0.012837865,0.072321613,0.032397568,0.093778686,0.026957167,0.052904424,0.099140392,0.044254276,0.017652268,0.045626096,0.032414945,0.044390727,0.040251827,0.016246945,0.041233484,0.073034619,0,0,15998454
PF00586,3,preLUCA,0.113327115,0.032212953,0.035670141,0.071993716,0.02140108,0.047130425,0.01640264,0.116679667,0.017039331,0.066536382,0.084108606,0.031901723,0.025774716,0.03461189,0.048324955,0.046852344,0.056167162,0.006640814,0.026346114,0.100878226,0,0,5973063
PF00587,2,preLUCA,0.075736656,0.067131902,0.032731206,0.058415848,0.014355435,0.088243102,0.036336368,0.06916031,0.027671243,0.055534253,0.08549379,0.052261455,0.02551846,0.052724328,0.040326276,0.049274855,0.053594868,0.013114032,0.041731036,0.060644579,0,0,12390011
PF00588,1,LUCA,0.112921545,0.051909137,0.043061902,0.054558418,0.015655221,0.055500017,0.024995526,0.078781477,0.022517248,0.064752174,0.103248269,0.035058306,0.020282701,0.032803669,0.045330712,0.059739395,0.055193211,0.009425339,0.024279749,0.089985982,0,0,6420989
PF00589,1,LUCA,0.080029937,0.08504183,0.032783104,0.050736388,0.009903506,0.057063339,0.0337769,0.063709331,0.037982703,0.058332521,0.114986054,0.059910616,0.020338827,0.031671188,0.036000175,0.058473177,0.06486984,0.012156233,0.031025576,0.061208756,0,0,16195477
PF00590,1,LUCA,0.109134881,0.06043238,0.021375543,0.053934559,0.010536918,0.069168109,0.026909692,0.084690653,0.022441195,0.063386565,0.107420073,0.044647226,0.017145194,0.02812798,0.050831976,0.052287546,0.059232678,0.006185328,0.024685555,0.087425949,0,0,10384251
PF00591,1,LUCA,0.126521542,0.044362959,0.035331981,0.05565735,0.011933288,0.056820726,0.021954178,0.105774056,0.019993356,0.059504828,0.099720169,0.047123678,0.023387251,0.027812943,0.041798791,0.060981216,0.0587035,0.002874728,0.014657027,0.085086434,0,0,4894376
PF00662,1,LUCA,0.0630166,0.039742853,0.017930066,0.05161908,0.005774969,0.025235995,0.013723314,0.085195192,0.026657439,0.07778765,0.138384747,0.016506364,0.04554379,0.081318116,0.024073098,0.074146541,0.043870573,0.019272478,0.060250486,0.08995065,0,0,885719
PF00664,2,preLUCA,0.09763997,0.056487605,0.031535772,0.032307356,0.004314266,0.035890551,0.038512899,0.067884471,0.013020137,0.081513703,0.139472272,0.030681759,0.033135955,0.0582591,0.023813046,0.063839924,0.057020063,0.012811298,0.0286247,0.093235154,0,0,22783016
PF00673,1,LUCA,0.051304691,0.087762188,0.036561486,0.072991252,0.006971715,0.06054149,0.02160715,0.08873843,0.010610722,0.080929125,0.086877331,0.061020472,0.028779282,0.068815911,0.04547308,0.039510379,0.059446132,0.00333334,0.024240293,0.064485532,0,0,1586697
PF00679,1,LUCA,0.058876723,0.064374338,0.027413287,0.052242834,0.006292195,0.089880631,0.035467829,0.083269127,0.015742542,0.065730291,0.082654373,0.040697795,0.048664514,0.037050348,0.049576437,0.061969685,0.057883128,0.003338224,0.039957334,0.078918366,0,0,4065036
PF00682,1,LUCA,0.111170028,0.054276127,0.036303816,0.066909743,0.016238084,0.068831103,0.029102144,0.075605211,0.02587285,0.065288468,0.089581536,0.043722766,0.023906091,0.033821329,0.034030163,0.051883711,0.061517659,0.006876981,0.02412119,0.080941001,0,0,11013553
PF00687,1,LUCA,0.104018828,0.046673856,0.03632129,0.065214085,0.004215899,0.053648677,0.027087893,0.089018884,0.010790573,0.057679842,0.071802467,0.099564343,0.030072999,0.03307116,0.051350282,0.045320342,0.059340809,0.002528169,0.012188148,0.100091453,0,0,3063878
PF00692,1,LUCA,0.08313484,0.057325867,0.030278314,0.042772057,0.011192158,0.068240126,0.031696626,0.10995138,0.020550377,0.07052144,0.095965578,0.032819456,0.016603134,0.03599747,0.061214991,0.056604502,0.059081174,0.006283745,0.031052427,0.078714338,0,0,2047505
PF00696,1,LUCA,0.102727007,0.051213592,0.037484528,0.062447024,0.008325491,0.060270335,0.031535527,0.088505097,0.017891719,0.075060001,0.096150346,0.055717578,0.025416374,0.027050601,0.032358267,0.056695343,0.054637856,0.004033952,0.021224252,0.091255109,0,0,16526472
PF00708,1,LUCA,0.072883825,0.076454487,0.034628596,0.04975388,0.008844231,0.089948936,0.038532785,0.10359213,0.018900662,0.058758357,0.066858094,0.047557965,0.010209777,0.052212016,0.033931638,0.043463626,0.039649144,0.014962737,0.025222352,0.11363476,0,0,1304240
PF00723,1,LUCA,0.098587239,0.071550353,0.028908433,0.068712941,0.010734241,0.071150356,0.032054834,0.078170493,0.025254145,0.048687752,0.103118218,0.033438311,0.019750328,0.035124539,0.040618447,0.051602228,0.05062095,0.030050444,0.043779894,0.058085855,0,0,2725018
PF00725,1,LUCA,0.094031942,0.056071408,0.03144001,0.061398831,0.00863824,0.064727382,0.022978168,0.109609459,0.016616309,0.052951611,0.106871704,0.046638285,0.038362797,0.047605211,0.046506375,0.032552534,0.040213582,0.009756054,0.041627882,0.071402216,0,0,3214312
PF00741,1,LUCA,0.098161743,0.060016427,0.014690815,0.10200591,0.001126155,0.04301403,0.005901728,0.062006249,0.001981355,0.134622061,0.187678343,0.030829544,0.002997434,0.005148136,0.003039771,0.036722805,0.028103064,0.004292936,0.005334417,0.172327076,0,0,118101
PF00745,1,LUCA,0.108611008,0.077963167,0.032847681,0.057850669,0.00330679,0.107431434,0.050024716,0.031724333,0.022600498,0.068713995,0.114856776,0.071335531,0.024154912,0.028935291,0.024184196,0.04762457,0.044970235,0.007459312,0.013386467,0.062018419,0,0,853698
PF00749,1,LUCA,0.075147787,0.076722644,0.033218864,0.073603521,0.012488867,0.072386003,0.030487097,0.070760278,0.031106224,0.054819352,0.092708137,0.051195441,0.022009039,0.041784109,0.052041413,0.047988902,0.045594423,0.018584132,0.041407179,0.05594659,0,0,8728414
PF00753,4,preLUCA,0.082078496,0.046089544,0.028734317,0.0761819,0.010622758,0.059532159,0.025429217,0.090116466,0.048464519,0.062348802,0.100778853,0.039002726,0.016185863,0.039751899,0.052686891,0.049324462,0.058775319,0.010940917,0.0287554,0.074199494,0,0,17739555
PF00756,1,LUCA,0.088139515,0.051603291,0.04199893,0.062466643,0.008067408,0.052970886,0.032997526,0.089142266,0.026828322,0.048387629,0.086372452,0.042632753,0.02425073,0.044989055,0.059415929,0.061065895,0.049461422,0.022195254,0.047733064,0.059281031,0,0,6123156
PF00766,1,LUCA,0.134471294,0.038348806,0.02173836,0.045902147,0.008257648,0.049787495,0.045953454,0.148368993,0.023154436,0.074066957,0.07674892,0.04258864,0.018367016,0.015352956,0.032269379,0.062446361,0.034015687,0.010100972,0.021743024,0.096317455,0,0,1071976
PF00795,1,LUCA,0.106471942,0.057871221,0.036983401,0.05756612,0.016420871,0.067120611,0.035793236,0.080860491,0.021328635,0.058657683,0.08970601,0.035796754,0.018061986,0.04260198,0.050958264,0.049032069,0.047637079,0.015222077,0.034452363,0.077457208,0,0,11937004
PF00800,1,LUCA,0.120900687,0.046124003,0.040681547,0.047581319,0.015496778,0.075056664,0.03935287,0.0632784,0.033719013,0.070882348,0.08694131,0.038855673,0.013673575,0.036446695,0.041287352,0.066210836,0.051478771,0.005071228,0.028523597,0.078437334,0,0,2246596
PF00809,1,LUCA,0.11188637,0.060287021,0.036563013,0.067939749,0.010155351,0.071172694,0.027351673,0.082453254,0.021136145,0.073656058,0.085902399,0.041336987,0.027975821,0.033334757,0.040934062,0.055503334,0.042434564,0.005994137,0.017504461,0.086478149,0,0,5971335
PF00814,1,LUCA,0.126054682,0.048774562,0.029621415,0.049394757,0.013072429,0.055221293,0.02921367,0.095305369,0.027223107,0.057996832,0.108303243,0.047655406,0.020279395,0.034828086,0.048286653,0.05574582,0.044100005,0.004897233,0.02467008,0.07935596,0,0,6062607
PF00817,1,LUCA,0.114898921,0.071368804,0.025475601,0.056639277,0.018772813,0.063550258,0.027121611,0.067186316,0.015235663,0.061926839,0.083356101,0.050116903,0.023645209,0.038439148,0.048658939,0.07000181,0.040744233,0.004880028,0.03368367,0.084297856,0,0,3275801
PF00860,1,LUCA,0.120123924,0.020794772,0.024923013,0.02473778,0.00597343,0.019726667,0.01853582,0.112692586,0.008524664,0.095014697,0.124125781,0.021554202,0.03587575,0.063516315,0.045629372,0.058927232,0.066956445,0.00925523,0.018071616,0.105040705,0,0,7136938
PF00881,1,LUCA,0.112054833,0.063899213,0.033251021,0.051310804,0.013588094,0.066357985,0.038685374,0.06509245,0.021401544,0.059581643,0.096794517,0.048717498,0.022718182,0.037708089,0.048437699,0.056521692,0.043958768,0.01767308,0.03266634,0.069581173,0,0,7455350
PF00892,4,preLUCA,0.123600291,0.031946121,0.017651336,0.012658623,0.009289538,0.019827852,0.019628428,0.088698178,0.009813979,0.082624286,0.165158271,0.022296618,0.026149849,0.065619604,0.037884711,0.062397841,0.054944874,0.024606041,0.028824327,0.09637923,0,0,23377267
PF00902,1,LUCA,0.093847348,0.038912013,0.017425053,0.025943142,0.007366077,0.035263763,0.024825125,0.059659029,0.012484682,0.08909379,0.14300515,0.029464944,0.031158331,0.089303478,0.054870205,0.052523926,0.049058359,0.016124989,0.035578613,0.094091984,0,0,3147537
PF00924,4,preLUCA,0.07753617,0.050686692,0.043903811,0.054958633,0.0038854,0.05251011,0.028906199,0.076941923,0.011640887,0.102008425,0.103265648,0.041844752,0.019046535,0.049972637,0.029349313,0.057868387,0.058816331,0.013110258,0.025041255,0.098706636,0,0,8555362
PF00977,1,LUCA,0.111383427,0.054834915,0.028502103,0.078038007,0.012445722,0.064206551,0.026172982,0.105092309,0.01540918,0.075326354,0.084462586,0.04756584,0.013875996,0.030116649,0.029295789,0.04883146,0.049337644,0.009966579,0.019816098,0.09531981,0,0,6219085
PF00994,1,LUCA,0.096489682,0.054017655,0.027101613,0.060618335,0.009868936,0.064728219,0.025759602,0.098731652,0.015447886,0.069776527,0.101756189,0.037261117,0.020697988,0.03065023,0.058072124,0.054112446,0.059822644,0.006492217,0.018201906,0.090393031,0,0,5485799
PF00999,2,preLUCA,0.110142322,0.033365791,0.018255843,0.023486625,0.004417515,0.032596071,0.018783778,0.092644,0.011682749,0.09214817,0.165314383,0.024767001,0.026916042,0.065773431,0.035907398,0.062140697,0.050336296,0.013073394,0.017462598,0.100785896,0,0,17130899
PF01012,2,preLUCA,0.137024953,0.044173432,0.030299193,0.063482503,0.007853862,0.07213023,0.030230707,0.079043566,0.012877119,0.059030697,0.093869121,0.053280961,0.017980753,0.021673929,0.043145482,0.049573031,0.061825408,0.004542974,0.020509007,0.097453072,0,0,4541078
PF01022,2,preLUCA,0.068269586,0.074091023,0.031632358,0.041547765,0.021410738,0.070853774,0.043425196,0.047606724,0.036902322,0.069038747,0.171076443,0.058364821,0.019200005,0.01010939,0.028133401,0.076074395,0.047208598,0.001437219,0.012819837,0.070797659,0,0,2067187
PF01029,1,LUCA,0.110709654,0.076261529,0.038182429,0.064273656,0.006188263,0.074513014,0.035110196,0.048195143,0.018452105,0.065108368,0.122938628,0.050956963,0.016791186,0.034020776,0.034258476,0.047766094,0.039560575,0.010646296,0.027882264,0.078184385,0,0,2351710
PF01032,1,LUCA,0.13429455,0.042607025,0.019953598,0.023905162,0.007112543,0.016970633,0.020476772,0.104384439,0.010146272,0.077650062,0.166032856,0.011593396,0.025872548,0.047184359,0.041472252,0.063579113,0.050816971,0.015299583,0.016514919,0.104132947,0,0,10302503
PF01037,2,preLUCA,0.069598606,0.057520587,0.027700397,0.064042731,0.010747768,0.087189004,0.031605304,0.048835842,0.024807313,0.080554003,0.095134111,0.051544416,0.024147567,0.034931275,0.023576184,0.059954001,0.066325058,0.003993042,0.02878868,0.109004111,0,0,4368349
PF01040,1,LUCA,0.122240865,0.041151045,0.026660503,0.033115018,0.010693681,0.020268753,0.016656366,0.081760339,0.013154506,0.076207694,0.1441943,0.028652837,0.024910308,0.062741907,0.042113524,0.054474921,0.052103734,0.023759825,0.03806962,0.087070256,0,0,10196582
PF01047,1,LUCA,0.070556173,0.100327094,0.028728825,0.056760521,0.007427583,0.068943803,0.045022175,0.055379138,0.017718658,0.054732372,0.132219694,0.056217132,0.02617622,0.014556776,0.037310211,0.067511299,0.068812783,0.006853143,0.017525537,0.067220861,0,0,2640832
PF01058,1,LUCA,0.089917904,0.047034406,0.02715838,0.055532884,0.039418135,0.055462042,0.027264275,0.086045937,0.015153953,0.071476432,0.073158934,0.038639978,0.036371921,0.030175445,0.076257172,0.049755927,0.039041786,0.008274513,0.038547735,0.095312241,0,0,2710250
PF01061,1,LUCA,0.094463407,0.040551869,0.024333454,0.020455386,0.005143036,0.023094147,0.025139908,0.077395615,0.008672232,0.081103971,0.150483225,0.018479727,0.037792501,0.075663851,0.050030904,0.065539794,0.055517796,0.019444345,0.031815835,0.094878998,0,0,8573341
