ancestor,pfamIDs,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,U,O,median_PfamLen,mean_PfamLen,concat_length,Clans,avg_clustering_allPhases,avg_clustering_trunc,avg_transfer,phylostrata_age,GC_content
LBCA,PF00033,0.082652071,0.036295475,0.024694779,0.018830924,0.004792889,0.024423429,0.02235655,0.088598679,0.032562969,0.0772549,0.134654096,0.015344749,0.044369583,0.078653026,0.037776354,0.04623343,0.051271689,0.033172063,0.054098733,0.091963612,0,0,184,178.5649485,1039248,CL0328,1.234718143,1.212923112,0.08061235,postLUCA,0.441847012
LBCA,PF00034,0.097847856,0.049557485,0.039638392,0.059316832,0.020403021,0.058093723,0.039109926,0.092798089,0.024273484,0.049525134,0.090576922,0.058409999,0.027260826,0.031558885,0.04939573,0.058511071,0.055785551,0.008279641,0.03190691,0.057750522,0,0,96,100.7626038,4976665,CL0318,0.810335525,0.803879293,0.22399,postLUCA,0.498447646
LBCA,PF00035,0.118826273,0.050175559,0.023597517,0.032006036,0.00875025,0.098608768,0.069151279,0.07608217,0.025751388,0.036253613,0.080934996,0.096564396,0.008507187,0.02757195,0.037722817,0.05933372,0.049133518,0.010727238,0.029220443,0.061080882,0,0,66,65.2837392,831062,CL0196,1.197036147,1.183102074,0.090511,postLUCA,0.499392559
LBCA,PF00036,0.080633167,0.044619144,0.031445873,0.141293955,0.000849888,0.125146075,0.023584405,0.067778604,0.007224052,0.043131839,0.069053437,0.09348773,0.044619144,0.084138957,0.002443429,0.046743865,0.041963242,0.001699777,0.009242537,0.040900882,0,0,25,24.70603675,9413,CL0220,0.846197171,0.965999963,0.2707605,postLUCA,0.436479129
LUCA,PF00037,0.083472576,0.025050592,0.032328191,0.062713989,0.188817221,0.06979659,0.018039651,0.069604349,0.011247134,0.093575222,0.036344581,0.049601634,0.009481135,0.0153531,0.060903891,0.032434302,0.036636044,0.002479841,0.021460026,0.080659931,0,0,22,21.36531327,1451303,CL0344,0.628951325,0.629140892,0.238813,LUCA,0.508681582
LUCA,PF00041,0.107514132,0.02835215,0.060320847,0.043016984,0.004467781,0.030967969,0.025158147,0.089034106,0.00539069,0.036828988,0.053816796,0.025008652,0.004236371,0.019657554,0.046756405,0.110550448,0.150858094,0.019887599,0.052557352,0.085618933,0,0,75,75.4886633,1464933,CL0159,0.787136985,0.783919849,0.376281,LUCA,0.505234114
LBCA,PF00042,0.14025737,0.051886388,0.036111032,0.051251536,0.003186508,0.065932742,0.048569236,0.058369635,0.043794577,0.04902241,0.110633668,0.036070205,0.024516308,0.04171855,0.041988005,0.033336872,0.040989797,0.015630422,0.040252879,0.066481859,0,0,104,103.5245139,489878,CL0090,0.850764912,0.839456807,0.165187,postLUCA,0.502775708
unclassifiable,PF00043,0.124415236,0.080092005,0.025321639,0.065665394,0.008290575,0.066342795,0.035570609,0.055109067,0.022772793,0.047747643,0.109928974,0.039346864,0.023509845,0.044917726,0.051095215,0.042019058,0.036312716,0.027073781,0.041708667,0.052759396,0,0,73,73.69058263,989075,CL0497,0.699454941,0.688755498,0.352406,unclassifiable,0.495613968
LBCA,PF00044,0.074647886,0.063411872,0.05249458,0.078942793,0.005987316,0.057976501,0.01671366,0.097798682,0.021069366,0.083227726,0.087302711,0.053877292,0.010788568,0.041338366,0.026993983,0.041489889,0.05199536,0.011454987,0.024618531,0.097869931,0,0,101,102.0991271,2105284,CL0063,0.735277074,0.712502311,0.140747,postLUCA,0.463680625
LBCA,PF00045,0.079304805,0.048147607,0.049705467,0.093909741,0.002142057,0.031546663,0.023952096,0.098680687,0.010612921,0.055450075,0.057738182,0.056277689,0.005793291,0.060026289,0.058857894,0.050094932,0.03899518,0.031205881,0.084319167,0.063239375,0,0,44,43.42706131,20541,PF00045,0.80328372,0.776309852,0.24367575,postLUCA,0.452955579
LBCA,PF00050,0.076681354,0.024216962,0.062403935,0.068142228,0.136830959,0.054172217,0.027530143,0.094101172,0.00713871,0.028896403,0.022440824,0.044710865,0.027837552,0.01133996,0.063087065,0.037401373,0.074700277,0.003483964,0.065068142,0.069815896,0,0,28,29.60262892,29277,CL0005,0.89383152,0.932799725,0.285419,postLUCA,0.517509728
unclassifiable,PF00056,0.113899868,0.038283094,0.045160997,0.067983533,0.010984299,0.043014998,0.026352057,0.095877051,0.01144473,0.081646538,0.087389873,0.053199345,0.027333595,0.026409611,0.044307505,0.049886209,0.054375851,0.003297521,0.019541524,0.099611802,0,0,141,140.1301032,2241381,CL0063,0.955535521,0.931167706,0.1045987,unclassifiable,0.491068159
LBCA,PF00059,0.092253464,0.030823879,0.074390477,0.069767918,0.007370187,0.075706338,0.036980473,0.111439129,0.018947038,0.037185011,0.059909185,0.023221883,0.010445075,0.036080506,0.036516854,0.071370132,0.067633904,0.063768136,0.030817061,0.04537335,0,0,93,90.76237624,146672,CL0056,1.055764543,1.023461835,0.2504175,postLUCA,0.505935139
LBCA,PF00060,0.089007014,0.044710225,0.024377999,0.02997416,0.003765227,0.034448136,0.019593946,0.101734958,0.012299742,0.083292728,0.105337763,0.033576966,0.030387597,0.05659653,0.029752676,0.073104467,0.083839055,0.038124769,0.016493171,0.089582872,0,0,103,104.3528505,67725,CL0030,1.261788486,1.276136164,0.2107125,postLUCA,0.487406678
LUCA,PF00067,0.104264041,0.08751455,0.024950947,0.066965252,0.008778631,0.070606695,0.030659585,0.070370919,0.030490726,0.045895476,0.114411398,0.02306256,0.023838576,0.043996594,0.058472415,0.041669909,0.055912543,0.011843172,0.020221256,0.066074756,0,0,170,209.9180923,7337477,PF00067,0.913042722,0.91498317,0.3396335,LUCA,0.506671948
LUCA,PF00069,0.101369008,0.07264833,0.023932017,0.060544281,0.008285896,0.064676849,0.036134913,0.080193112,0.030412744,0.05366231,0.106773619,0.039332335,0.023419996,0.030635547,0.056746456,0.049764346,0.046981607,0.006501659,0.031497258,0.076487717,0,0,247,231.1168437,23217767,CL0016,0.854527713,0.858332541,0.197246,LUCA,0.469893381
unclassifiable,PF00070,0.097735206,0.055199286,0.023378521,0.046026463,0.006331683,0.079146035,0.020780908,0.107638607,0.025894959,0.071272019,0.112915009,0.057634548,0.01168926,0.019563276,0.020537381,0.053413426,0.050004059,0.003409368,0.018507996,0.11892199,0,0,54,53.56086957,12319,CL0063,0.760918957,0.830997454,0.2264845,unclassifiable,0.53592233
LACA,PF00071,0.061094201,0.044792405,0.044538033,0.06352986,0.008337852,0.068044483,0.030566704,0.073787932,0.012600972,0.080729607,0.092336042,0.080018131,0.017981033,0.055710314,0.02279593,0.05899898,0.061827672,0.012605753,0.034571627,0.075132469,0,0,161,153.5329614,1045713,CL0023,0.844629623,0.871817759,0.146505,postLUCA,0.41872966
preLUCA,PF00072,0.092822632,0.052931332,0.027157245,0.08939943,0.008726534,0.07425627,0.029557821,0.059613801,0.015553956,0.074942211,0.12547171,0.046357919,0.031125654,0.030953729,0.042472725,0.043871596,0.043408024,0.003751572,0.023119179,0.08450666,0,0,111,109.9131445,55687055,CL0304,0.974951461,0.956832347,0.3841635,preLUCA,0.448334201
post-LBCA,PF00075,0.091362977,0.056953103,0.058264263,0.050834896,0.014796568,0.067122666,0.031549381,0.096990307,0.030259212,0.045650001,0.08079942,0.074899201,0.017925106,0.019262101,0.032440711,0.044501121,0.052501296,0.039421184,0.027495604,0.066970882,0,0,138,132.103029,1238598,CL0219,1.007004615,1.013090173,0.1429145,modern,0.494859438
LBCA,PF00076,0.088419356,0.0574815,0.046356316,0.067058062,0.002231674,0.089504773,0.03175503,0.100506897,0.010233344,0.047477683,0.074828822,0.054474132,0.027889008,0.064241507,0.017094289,0.063547393,0.054089743,0.002828999,0.026452385,0.073529086,0,0,70,69.34074784,723224,CL0221,0.926738531,0.887385057,0.1320215,postLUCA,0.463393776
LBCA,PF00078,0.064222633,0.073422566,0.038467138,0.062857815,0.013722666,0.054332462,0.035207232,0.063830751,0.027243042,0.07238996,0.104316127,0.074902918,0.017008386,0.050560485,0.041457042,0.055206369,0.042610684,0.011343438,0.035631278,0.061267008,0,0,206,184.605625,2362952,CL0027,0.897997069,0.8963272,0.50936,postLUCA,0.421186122
LBCA,PF00079,0.107080906,0.047644361,0.044443161,0.062634135,0.004272478,0.069544648,0.033545363,0.065896706,0.014565595,0.045808657,0.093943081,0.049002637,0.028355935,0.055673985,0.049877169,0.059941048,0.064264067,0.012551195,0.027651978,0.063302895,0,0,363,316.6681909,1108022,PF00079,0.925609422,0.899885042,0.1572585,postLUCA,0.477989821
LBCA,PF00080,0.097976108,0.026121242,0.042469217,0.076398298,0.017036373,0.048066198,0.024540918,0.148851771,0.060918304,0.048361511,0.059463687,0.04490555,0.014318695,0.029279895,0.055143736,0.053505546,0.064617699,0.006959811,0.013035679,0.068029763,0,0,132,130.5111979,501163,PF00080,1.075469725,1.081813192,0.144786,postLUCA,0.556642537
LUCA,PF00081,0.095304025,0.020248293,0.076061165,0.050210837,0.002546734,0.074480864,0.025136619,0.058498449,0.078238175,0.050759964,0.105295179,0.054660797,0.020923002,0.034615307,0.046365385,0.049201503,0.051061048,0.017367714,0.050097735,0.038927205,0,0,83,83.15716417,1282034,PF00081,0.742576323,0.785450576,0.135893,LUCA,0.432338942
LUCA,PF00082,0.119476601,0.031890903,0.055980973,0.073487488,0.008424581,0.03546611,0.025404249,0.117540483,0.020483669,0.054950411,0.06129036,0.029794516,0.016169128,0.026597265,0.049029033,0.082736172,0.064502982,0.012567173,0.033968077,0.080239827,0,0,260,260.5045049,13271402,PF00082,0.958515109,0.956932691,0.27758,LUCA,0.530801194
LUCA,PF00083,0.118355536,0.043050442,0.019511338,0.020814629,0.006816326,0.033802203,0.021875883,0.103971987,0.008321721,0.076534767,0.130250078,0.023505526,0.0286688,0.070971206,0.038640395,0.063327294,0.054878041,0.022031909,0.030637189,0.084034728,0,0,314,297.8237799,9440716,CL0015,1.06141826,1.064112836,0.3707765,LUCA,0.492207045
LUCA,PF00085,0.086747396,0.034896159,0.035807117,0.06770299,0.022714959,0.076128372,0.043581516,0.059380297,0.009513839,0.063691379,0.082363595,0.068485703,0.021264767,0.047654461,0.053161104,0.043793399,0.046303008,0.01838715,0.019774149,0.09864864,0.00000441,0,98,93.03925383,4304256,CL0172,0.983345974,0.940658552,0.1140975,LUCA,0.460513854
LBCA,PF00089,0.096993327,0.043560709,0.038157197,0.060950181,0.021897332,0.034127817,0.03394319,0.12887109,0.01897501,0.044687498,0.06473715,0.025732924,0.010559681,0.027085211,0.051810437,0.078988667,0.083974302,0.017347896,0.034078489,0.083521895,0,0,194,184.7515948,1419077,CL0124,0.940859399,0.942081349,0.3553815,postLUCA,0.540343293
LACA,PF00091,0.111689344,0.049363182,0.043631865,0.049512013,0.008909608,0.06857325,0.030134914,0.136790128,0.011335819,0.077609673,0.08398886,0.051614142,0.024030492,0.026205715,0.026041619,0.039428195,0.06050056,0.001485082,0.008740816,0.090414722,0,0,160,157.5646161,3406547,CL0063,1.000834939,1.002774158,0.05262815,postLUCA,0.521592181
LUCA,PF00092,0.099654912,0.049244746,0.044352161,0.075617591,0.005183355,0.05785534,0.035355366,0.087367423,0.011077336,0.069556391,0.093050517,0.051870187,0.023778504,0.032590612,0.032319441,0.068818711,0.061968495,0.004397959,0.02559384,0.070347112,0,0,166,165.0418366,4694450,CL0128,1.003381111,1.031168119,0.188864,LUCA,0.475770803
unclassifiable,PF00096,0.02945527,0.061354428,0.035307737,0.048234613,0.087015242,0.081130619,0.046080134,0.031995627,0.093832401,0.035082642,0.058106631,0.131005209,0.025596501,0.052704354,0.017718181,0.057367033,0.04360409,0.000932536,0.026271786,0.037204965,0,0,23,23.12118959,31098,CL0361,0.681091434,0.656620415,0.1040485,unclassifiable,0.417800323
post-LBCA,PF00101,0.073473938,0.069841049,0.0361995,0.059280787,0.01808482,0.072598063,0.057489226,0.055070617,0.026883379,0.061749161,0.072488579,0.030924346,0.024026834,0.042360482,0.054433618,0.060385584,0.050591713,0.024624021,0.047327089,0.062167193,0,0,96,92.77100646,100471,PF00101,0.990987191,0.884660286,0.179425,modern,0.469811542
unclassifiable,PF00102,0.093715046,0.073029492,0.031630067,0.054864149,0.023503094,0.067224511,0.036628014,0.074388707,0.030808875,0.059309915,0.087853431,0.042886067,0.019113962,0.031233629,0.045377961,0.047983123,0.056464059,0.021973977,0.024437554,0.077574367,0,0,68,98.92016807,70629,CL0031,0.921430535,0.94869788,0.2041425,unclassifiable,0.535829452
LUCA,PF00106,0.136510464,0.057298793,0.038883445,0.048973858,0.008639551,0.05366258,0.028465104,0.096806029,0.019540195,0.059134697,0.094808223,0.03682742,0.019775413,0.031511038,0.032103401,0.058157504,0.060195541,0.008312729,0.020200857,0.090193159,0,0,188,181.1272358,23514300,CL0063,0.823499323,0.822078475,0.4182315,LUCA,0.496494906
preLUCA,PF00107,0.123557581,0.055914786,0.027433575,0.059695549,0.011385973,0.053660888,0.028489078,0.111265419,0.017998171,0.061067947,0.093476611,0.042122437,0.023229381,0.031769267,0.034493443,0.04855792,0.053314962,0.008029635,0.019099526,0.095437851,0,0,123,119.4659449,11057290,CL0063,0.847002442,0.83219162,0.36559,preLUCA,0.511997066
LUCA,PF00108,0.139645059,0.053562551,0.032388372,0.059483289,0.011350053,0.059442277,0.036060779,0.098730781,0.017764035,0.05178582,0.074942066,0.037824779,0.030420946,0.028687046,0.042850423,0.063132053,0.053998322,0.006990887,0.019800846,0.081139618,0,0,256,238.3311877,10996601,CL0046,0.798758011,0.821426496,0.161394,LUCA,0.533320324
LBCA,PF00109,0.122534732,0.058060934,0.028729038,0.06234533,0.016377633,0.056877357,0.025793603,0.11094711,0.017445662,0.051349614,0.084367819,0.02817304,0.024573178,0.041299102,0.044376919,0.071695193,0.051774025,0.011326717,0.021502088,0.070450907,0,0,245,234.097632,12782433,CL0046,0.854175503,0.858689269,0.1706525,postLUCA,0.532597919
LUCA,PF00111,0.082450164,0.05461885,0.02891373,0.060449038,0.068631547,0.079592276,0.03422667,0.103963695,0.021261646,0.041783811,0.096249613,0.039308692,0.017546571,0.015124764,0.037942644,0.053684391,0.064922462,0.005353973,0.015250856,0.078724607,0,0,69,65.87410476,3338829,CL0486,0.893945141,0.850980599,0.244857,LUCA,0.519193258
LUCA,PF00112,0.077007407,0.035172727,0.061069833,0.067139354,0.020591357,0.048226553,0.030476835,0.097950157,0.018298588,0.049296705,0.062161766,0.045409598,0.018665954,0.03912082,0.044030162,0.081054238,0.052530395,0.031149129,0.062266313,0.05838211,0,0,203,174.5721166,688687,CL0125,0.970291247,0.953050724,0.246748,LUCA,0.483690966
LACA,PF00113,0.101652958,0.037557761,0.04514984,0.067594748,0.007527479,0.082127423,0.029133811,0.090494291,0.017453675,0.071500179,0.087671207,0.059572208,0.023257888,0.035663043,0.029005018,0.057447328,0.056049499,0.008577324,0.030980587,0.061583734,0,0,282,271.1446433,4922631,CL0036,0.889714047,0.924293946,0.0833218,postLUCA,0.473381039
Proteobacteria,PF00114,0.13889713,0.032001722,0.049104987,0.042310221,0.0236537,0.039517851,0.030279761,0.098023817,0.006166483,0.047604088,0.065504343,0.039878532,0.011029861,0.018051508,0.04703398,0.089966666,0.110397505,0.013368471,0.022338959,0.074870417,0,0,105,106.5697458,171897,CL0327,0.83522752,0.815072121,0.456924,modern,0.549457855
LBCA,PF00115,0.090919102,0.027688197,0.02680126,0.019329142,0.003135526,0.017990277,0.019735593,0.095588895,0.027168103,0.076917743,0.119651496,0.018257169,0.050272081,0.091306189,0.045687178,0.050497214,0.061584854,0.036103389,0.041003791,0.080362802,0,0,444,429.7696284,10225079,CL0714,0.928904141,0.927476239,0.126459,postLUCA,0.457186948
unclassifiable,PF00116,0.066637955,0.038569769,0.041050353,0.055509373,0.019950795,0.055461619,0.035802657,0.07869156,0.033949957,0.056034673,0.064942668,0.046323695,0.033765129,0.052389408,0.05676691,0.047930547,0.061168289,0.020183378,0.037935694,0.096935572,0,0,75,87.17098366,1130782,CL0026,0.830213405,0.831892287,0.1088215,unclassifiable,0.466128717
preLUCA,PF00117,0.078514495,0.047647985,0.037129678,0.053841026,0.015386299,0.070126698,0.034641487,0.094790537,0.038564927,0.061678599,0.088333856,0.044297778,0.019660892,0.046410126,0.056415179,0.052644597,0.044238768,0.007787417,0.031096799,0.076792856,0,0,182,184.72345,15471882,CL0014,0.800253062,0.809045685,0.1038885,preLUCA,0.480787724
post-LBCA,PF00118,0.118335006,0.041586235,0.032696639,0.068700852,0.004585189,0.089541498,0.028362629,0.084018088,0.009231443,0.073906737,0.086884668,0.07724927,0.023575425,0.015904833,0.024576274,0.04668055,0.061808491,0.001637387,0.012526746,0.098192039,0,0,500,464.8569601,13444593,PF00118,0.724638131,0.721475515,0.02686985,modern,0.486760687
post-LBCA,PF00119,0.085859977,0.025557801,0.030543,0.014336058,0.004827246,0.028049807,0.018062783,0.076401837,0.015484874,0.098416993,0.147295531,0.032354108,0.039444942,0.096040581,0.04546653,0.048481876,0.052632975,0.017368426,0.028360169,0.095014485,0,0,214,212.3111447,2526078,PF00119,1.125109669,1.119060591,0.0949258,modern,0.409819594
LBCA,PF00120,0.099293626,0.05521111,0.043756863,0.059390328,0.010114419,0.075176111,0.028152205,0.076601247,0.031704967,0.047632435,0.086768581,0.048463878,0.026411925,0.046852301,0.057384852,0.05320959,0.044752987,0.011465374,0.041533172,0.056124027,0,0,333,295.1630843,8088354,CL0286,0.819403174,0.815519241,0.09445275,postLUCA,0.476457587
LACA,PF00121,0.127750078,0.034155331,0.036072916,0.04850323,0.014772843,0.077691198,0.03471349,0.088075675,0.021029428,0.071832023,0.083983753,0.056038618,0.015447347,0.025815451,0.037391906,0.05858382,0.048622552,0.008911435,0.022166335,0.088442572,0,0,244,224.6871969,4031113,CL0036,0.796177825,0.792632518,0.0704037,postLUCA,0.516882906
LUCA,PF00122,0.11501917,0.04649784,0.020972879,0.046427572,0.009066967,0.060361929,0.027997957,0.086795621,0.007541152,0.077629974,0.099452252,0.040848541,0.021900612,0.027047908,0.048106829,0.06162675,0.067331528,0.00749831,0.011296178,0.11658003,0,0,181,179.8145659,11157314,PF00122,0.974106652,0.998474503,0.2170235,LUCA,0.516775851
post-LBCA,PF00124,0.096438926,0.032879195,0.038384237,0.019578143,0.009608647,0.035321218,0.021659317,0.104620962,0.028649712,0.074020149,0.109727391,0.007905105,0.026996522,0.086482018,0.045395612,0.061138688,0.050875478,0.046259971,0.039135306,0.064923404,0,0,254,266.2871508,238327,PF00124,0.930004982,0.907683344,0.1969275,modern,0.484887082
LBCA,PF00126,0.120145352,0.099461243,0.02001184,0.02480874,0.00466437,0.073308573,0.054525143,0.067212392,0.023491539,0.038499229,0.137210042,0.035323569,0.013280749,0.039427142,0.02449812,0.072274657,0.069907643,0.002563126,0.011587726,0.067798805,0,0,59,58.59184448,9877003,CL0123,0.727681874,0.727921798,0.30081,postLUCA,0.491504329
LUCA,PF00127,0.074883225,0.021237339,0.039471502,0.056425622,0.012678477,0.07076058,0.025639472,0.101874694,0.034564168,0.046370853,0.047295665,0.044710585,0.031173193,0.049419474,0.056347608,0.057081549,0.084619119,0.015224928,0.036472113,0.093749834,0,0,88,92.99633725,1320269,CL0026,0.830374136,0.853695421,0.1831315,LUCA,0.48112577
LUCA,PF00128,0.073611358,0.050587742,0.046476319,0.083694906,0.006586234,0.060016596,0.03216463,0.080131683,0.035848006,0.046445561,0.085285981,0.038603788,0.025002634,0.051420907,0.051807891,0.047294545,0.045973575,0.026998748,0.049926098,0.062122798,0,0,190,199.1016399,12517321,CL0036,1.025970371,1.014869836,0.2646085,LUCA,0.469658744
LUCA,PF00132,0.086400071,0.027805579,0.062611944,0.041939201,0.028967289,0.030009295,0.01467006,0.158109503,0.028810885,0.1324778,0.04257442,0.033260505,0.012450223,0.013636629,0.023676999,0.046715006,0.0555724,0.007785205,0.014178211,0.138348774,0,0,35,34.26608685,2915530,CL0536,0.425213389,0.421041387,0.334893,LUCA,0.506073164
preLUCA,PF00133,0.066668542,0.053377916,0.03454076,0.070182792,0.013696918,0.073263808,0.029911643,0.07056051,0.026273909,0.056263725,0.076126145,0.065545348,0.024287716,0.043184104,0.053708853,0.04696263,0.053565367,0.031107009,0.041068222,0.069704083,0,0,497,386.499574,24497116,CL0039,0.889166693,0.877045354,0.0528883,preLUCA,0.467500839
post-LBCA,PF00135,0.124556702,0.059999288,0.032897791,0.056374901,0.008003414,0.047993978,0.033445311,0.102786522,0.019389261,0.037221535,0.083773634,0.029466512,0.01931126,0.042666447,0.073824365,0.054773612,0.052784213,0.020402893,0.029920886,0.070407475,0,0,462,389.0686506,2640998,CL0028,0.947368148,0.946464258,0.3078105,modern,0.56179808
LUCA,PF00136,0.068592048,0.066381301,0.034459379,0.058575262,0.009581635,0.081460527,0.030845478,0.064501075,0.017781943,0.071127772,0.084747372,0.084908821,0.019407176,0.037691136,0.040518231,0.055143945,0.045300734,0.010329984,0.047052771,0.071593411,0,0,348,300.0369023,2886355,CL0194,0.875031463,0.874072849,0.06795315,LUCA,0.447986312
