"PFAM_IDs","robust_classifications"
"PF00350","unclassifiable"
"PF00351","LBCA"
"PF00352","Euryarchaeota"
"PF00353","LBCA"
"PF00355","LUCA"
"PF00356","LBCA"
"PF00358","post-LBCA"
"PF00359","LBCA"
"PF00360","LBCA"
"PF00361","LUCA"
"PF00364","preLUCA"
"PF00365","LBCA"
"PF00366","LBCA"
"PF00367","post-LBCA"
"PF00368","LUCA"
"PF00370","LUCA"
"PF00374","preLUCA"
"PF00375","LBCA"
"PF00376","LBCA"
"PF00378","LBCA"
"PF00380","Inspect"
"PF00381","LBCA"
"PF00382","LACA"
"PF00383","LUCA"
"PF00384","LUCA"
"PF00388","LBCA"
"PF00389","LUCA"
"PF00390","LBCA"
"PF00391","LUCA"
"PF00392","LBCA"
"PF00393","LBCA"
"PF00394","LBCA"
"PF00395","LBCA"
"PF00398","LUCA"
"PF00400","LUCA"
"PF00401","post-LBCA"
"PF00403","unclassifiable"
"PF00404","LBCA"
"PF00406","LBCA"
"PF00408","LBCA"
"PF00410","post-LBCA"
"PF00411","Inspect"
"PF00413","LUCA"
"PF00415","LBCA"
"PF00416","LACA"
"PF00419","Proteobacteria"
"PF00420","LUCA"
"PF00421","Terrabacteria"
"PF00425","LBCA"
"PF00427","Terrabacteria"
"PF00428","LACA"
"PF00430","LBCA"
"PF00431","unclassifiable"
"PF00432","LBCA"
"PF00436","LBCA"
"PF00437","LUCA"
"PF00438","LUCA"
"PF00440","unclassifiable"
"PF00441","LUCA"
"PF00444","LBCA"
"PF00445","post-LBCA"
"PF00448","LUCA"
"PF00449","LBCA"
"PF00450","post-LBCA"
"PF00453","post-LBCA"
"PF00455","LBCA"
"PF00456","LUCA"
"PF00457","LBCA"
"PF00459","LUCA"
"PF00460","LBCA"
"PF00462","LBCA"
"PF00463","Proteobacteria"
"PF00464","LUCA"
"PF00465","LUCA"
"PF00466","LUCA"
"PF00467","LACA"
"PF00468","LBCA"
"PF00471","LBCA"
"PF00472","LBCA"
"PF00474","LBCA"
"PF00475","unclassifiable"
"PF00476","unclassifiable"
"PF00478","LUCA"
"PF00479","LBCA"
"PF00480","LBCA"
"PF00481","LBCA"
"PF00482","LACA"
"PF00483","LUCA"
"PF00484","LUCA"
"PF00485","LBCA"
"PF00486","LBCA"
"PF00487","LBCA"
"PF00488","LUCA"
"PF00490","LBCA"
"PF00491","LUCA"
"PF00493","unclassifiable"
"PF00494","LBCA"
"PF00496","LUCA"
"PF00497","unclassifiable"
"PF00498","LBCA"
"PF00499","LBCA"
"PF00501","LUCA"
"PF00502","Terrabacteria"
"PF00504","Terrabacteria"
"PF00507","LACA"
"PF00510","LUCA"
"PF00512","unclassifiable"
"PF00515","LUCA"
"PF00520","LBCA"
"PF00521","LBCA"
"PF00528","LUCA"
"PF00529","LBCA"
"PF00532","LBCA"
"PF00533","LBCA"
"PF00534","preLUCA"
"PF00535","preLUCA"
"PF00536","Proteobacteria"
"PF00542","LBCA"
"PF00543","Inspect"
"PF00544","LBCA"
"PF00545","LBCA"
"PF00547","LBCA"
"PF00549","LUCA"
"PF00550","LBCA"
"PF00551","LUCA"
"PF00553","post-LBCA"
"PF00556","unclassifiable"
"PF00557","LUCA"
"PF00560","LBCA"
"PF00561","preLUCA"
"PF00562","Inspect"
"PF00563","LBCA"
"PF00565","LUCA"
"PF00570","LBCA"
"PF00571","LBCA"
"PF00572","Inspect"
"PF00573","LUCA"
"PF00574","LBCA"
"PF00575","LUCA"
"PF00576","post-LBCA"
"PF00577","post-LBCA"
"PF00578","preLUCA"
"PF00579","LUCA"
"PF00580","LUCA"
"PF00581","LUCA"
"PF00582","LUCA"
"PF00583","preLUCA"
"PF00584","Inspect"
"PF00585","LBCA"
"PF00586","preLUCA"
"PF00587","preLUCA"
"PF00588","LUCA"
"PF00589","LUCA"
"PF00590","LUCA"
"PF00591","LUCA"
"PF00593","LBCA"
"PF00595","unclassifiable"
"PF00596","LUCA"
"PF00614","post-LBCA"
"PF00623","Inspect"
"PF00625","post-LBCA"
"PF00629","FCB"
"PF00633","LUCA"
"PF00636","unclassifiable"
"PF00639","LBCA"
"PF00646","post-LBCA"
"PF00648","LBCA"
"PF00652","post-LBCA"
"PF00654","LUCA"
"PF00656","unclassifiable"
"PF00657","LBCA"
"PF00662","LUCA"
"PF00664","LBCA"
"PF00665","LUCA"
"PF00667","LBCA"
"PF00668","LBCA"
"PF00669","LBCA"
"PF00670","LBCA"
"PF00672","LUCA"
"PF00673","Inspect"
"PF00675","LBCA"
"PF00676","LBCA"
"PF00677","LBCA"
"PF00679","LBCA"
"PF00682","LUCA"
"PF00684","LUCA"
"PF00685","LBCA"
"PF00686","LBCA"
"PF00687","LACA"
"PF00689","LUCA"
"PF00690","preLUCA"
"PF00691","LBCA"
"PF00692","LUCA"
"PF00694","LBCA"
"PF00696","LUCA"
"PF00697","LUCA"
"PF00698","LBCA"
"PF00699","LBCA"
"PF00700","LBCA"
"PF00701","LUCA"
"PF00702","LUCA"
"PF00703","LUCA"
"PF00704","LBCA"
"PF00705","LACA"
"PF00707","unclassifiable"
"PF00708","LUCA"
"PF00709","LUCA"
"PF00710","LBCA"
"PF00712","unclassifiable"
"PF00717","LBCA"
"PF00719","unclassifiable"
"PF00720","Terrabacteria"
"PF00722","LBCA"
"PF00723","LBCA"
"PF00724","LUCA"
"PF00725","LUCA"
"PF00728","LBCA"
"PF00730","LUCA"
"PF00731","LUCA"
"PF00732","LBCA"
"PF00733","LUCA"
"PF00736","LACA"
"PF00737","Terrabacteria"
"PF00741","LBCA"
"PF00742","LUCA"
"PF00743","LBCA"
"PF00745","Inspect"
"PF00746","LBCA"
"PF00749","LUCA"
"PF00750","LUCA"
"PF00752","LACA"
"PF00753","LUCA"
"PF00754","LBCA"
"PF00755","post-LBCA"
"PF00756","LBCA"
"PF00759","LBCA"
"PF00760","Proteobacteria"
"PF00762","LBCA"
"PF00763","unclassifiable"
"PF00764","LUCA"
"PF00765","Proteobacteria"
"PF00766","LACA"
"PF00768","LBCA"
"PF00771","LBCA"
"PF00772","LBCA"
"PF00773","unclassifiable"
"PF00775","LBCA"
"PF00781","LBCA"
"PF00782","LUCA"
"PF00793","LBCA"
"PF00795","LUCA"
"PF00797","LBCA"
"PF00800","LUCA"
"PF00801","LBCA"
"PF00805","LBCA"
"PF00808","LACA"
"PF00809","LUCA"
"PF00813","post-LBCA"
"PF00814","LBCA"
"PF00815","LBCA"
"PF00816","Proteobacteria"
"PF00817","LBCA"
"PF00821","LBCA"
"PF00823","Terrabacteria"
"PF00825","LBCA"
"PF00827","TACK"
"PF00828","Inspect"
"PF00829","post-LBCA"
"PF00830","LBCA"
"PF00831","LBCA"
"PF00832","LACA"
"PF00833","LACA"
"PF00834","LACA"
"PF00839","Proteobacteria"
"PF00842","LBCA"
"PF00847","LBCA"
"PF00848","Inspect"
"PF00849","LBCA"
"PF00850","LUCA"
"PF00852","LBCA"
"PF00854","LBCA"
"PF00856","LBCA"
"PF00857","LUCA"
"PF00860","LBCA"
"PF00861","LBCA"
"PF00862","LBCA"
"PF00866","post-LBCA"
"PF00867","LACA"
"PF00871","LBCA"
"PF00872","LBCA"
"PF00873","LBCA"
"PF00874","post-LBCA"
"PF00875","LUCA"
"PF00877","post-LBCA"
"PF00881","LUCA"
"PF00882","LBCA"
"PF00883","unclassifiable"
"PF00884","LUCA"
"PF00885","Inspect"
"PF00886","LBCA"
"PF00887","FCB"
"PF00889","LBCA"
"PF00890","LUCA"
"PF00891","LUCA"
"PF00892","LUCA"
"PF00893","LBCA"
"PF00899","preLUCA"
"PF00900","LACA"
"PF00902","LACA"
"PF00903","preLUCA"
"PF00905","LBCA"
"PF00908","LUCA"
"PF00909","LUCA"
"PF00912","LBCA"
"PF00916","LBCA"
"PF00919","LBCA"
"PF00920","LUCA"
"PF00923","LBCA"
"PF00924","LUCA"
"PF00925","LBCA"
"PF00926","LACA"
"PF00929","LBCA"
"PF00930","LUCA"
"PF00931","LBCA"
"PF00932","LUCA"
"PF00933","LBCA"
"PF00934","Terrabacteria"
"PF00935","Euryarchaeota"
"PF00936","LBCA"
"PF00939","LBCA"
"PF00941","LBCA"
"PF00942","LBCA"
"PF00950","LUCA"
"PF00953","LBCA"
"PF00958","LACA"
"PF00959","LBCA"
"PF00960","Terrabacteria"
"PF00961","Inspect"
"PF00962","LBCA"
"PF00963","LBCA"
"PF00970","LUCA"
"PF00975","LBCA"
"PF00977","LUCA"
"PF00982","LBCA"
"PF00984","LBCA"
"PF00986","post-LBCA"
"PF00988","post-LBCA"
"PF00989","preLUCA"
"PF00990","LBCA"
"PF00994","LUCA"
"PF00999","LUCA"
"PF01000","Inspect"
"PF01008","LACA"
"PF01010","LBCA"
"PF01011","LBCA"
"PF01012","LUCA"
"PF01014","LBCA"
"PF01015","LACA"
"PF01016","unclassifiable"
"PF01018","LBCA"
"PF01019","LBCA"
"PF01020","Euryarchaeota"
"PF01022","LUCA"
"PF01025","LUCA"
"PF01026","LUCA"
"PF01027","LBCA"
"PF01028","LBCA"
"PF01029","LBCA"
"PF01030","FCB"
"PF01032","LUCA"
"PF01035","LBCA"
"PF01036","post-LBCA"
"PF01037","LUCA"
"PF01039","LUCA"
"PF01040","LUCA"
"PF01041","LUCA"
"PF01042","LUCA"
"PF01043","LBCA"
"PF01047","LUCA"
"PF01048","LUCA"
"PF01050","LUCA"
"PF01051","LBCA"
"PF01052","LBCA"
"PF01053","LUCA"
"PF01055","LBCA"
"PF01058","LUCA"
"PF01059","LBCA"
"PF01061","LUCA"
"PF01062","LBCA"
"PF01063","LBCA"
"PF01066","LUCA"
"PF01068","LBCA"
"PF01070","LUCA"
"PF01071","unclassifiable"
"PF01073","LUCA"
"PF01074","LUCA"
"PF01075","LUCA"
"PF01076","LBCA"
"PF01077","LUCA"
"PF01078","LBCA"
"PF01081","LBCA"
"PF01083","Terrabacteria"
"PF01084","LBCA"
"PF01087","LBCA"
"PF01090","LACA"
"PF01092","LACA"
"PF01094","post-LBCA"
"PF01095","LBCA"
"PF01096","LACA"
"PF01098","LBCA"
"PF01103","LBCA"
"PF01106","LUCA"
"PF01112","LBCA"
"PF01113","LUCA"
"PF01116","LBCA"
"PF01118","LUCA"
"PF01119","Inspect"
"PF01120","LBCA"
"PF01121","LBCA"
"PF01124","post-LBCA"
"PF01126","LBCA"
"PF01127","LUCA"
"PF01128","LBCA"
"PF01131","LUCA"
"PF01132","LBCA"
"PF01134","LACA"
"PF01135","LBCA"
"PF01136","LBCA"
"PF01137","LBCA"
"PF01138","LBCA"
"PF01139","LBCA"
"PF01142","LUCA"
"PF01144","LUCA"
"PF01145","LUCA"
"PF01148","LBCA"
"PF01149","LBCA"
"PF01152","LBCA"
"PF01154","LACA"
"PF01155","LUCA"
"PF01156","LBCA"
"PF01157","LACA"
"PF01161","LUCA"
"PF01163","LACA"
"PF01165","LBCA"
"PF01168","LUCA"
"PF01169","LBCA"
"PF01170","LUCA"
"PF01171","LBCA"
"PF01172","LACA"
"PF01174","Terrabacteria"
"PF01175","LBCA"
"PF01176","LACA"
"PF01177","LUCA"
"PF01179","LBCA"
"PF01180","LBCA"
"PF01182","LBCA"
"PF01183","LBCA"
"PF01184","Inspect"
"PF01186","post-LBCA"
"PF01187","LBCA"
"PF01189","LUCA"
"PF01191","Euryarchaeota"
"PF01192","post-LBCA"
"PF01193","LACA"
"PF01194","LACA"
"PF01195","post-LBCA"
"PF01196","LBCA"
"PF01197","LBCA"
"PF01198","LACA"
"PF01199","LACA"
"PF01200","LACA"
"PF01201","LACA"
"PF01202","LBCA"
"PF01203","Proteobacteria"
"PF01204","LBCA"
"PF01205","post-LBCA"
"PF01206","preLUCA"
"PF01207","LUCA"
"PF01208","LUCA"
"PF01209","LUCA"
"PF01210","LBCA"
"PF01212","LUCA"
"PF01218","post-LBCA"
"PF01219","unclassifiable"
"PF01220","unclassifiable"
"PF01223","LBCA"
"PF01225","LBCA"
"PF01226","LBCA"
"PF01227","LBCA"
"PF01228","LBCA"
"PF01229","LBCA"
"PF01230","LUCA"
"PF01232","LBCA"
"PF01235","LBCA"
"PF01238","Terrabacteria"
"PF01241","Terrabacteria"
"PF01242","LUCA"
"PF01243","LUCA"
"PF01244","LUCA"
"PF01245","LBCA"
"PF01246","unclassifiable"
"PF01247","TACK"
"PF01248","post-LBCA"
"PF01250","LBCA"
"PF01252","LBCA"
"PF01253","unclassifiable"
"PF01255","LBCA"
"PF01256","LBCA"
"PF01257","LUCA"
"PF01258","LBCA"
"PF01259","LUCA"
"PF01261","LUCA"
"PF01262","LBCA"
"PF01263","LBCA"
"PF01264","unclassifiable"
"PF01266","LUCA"
"PF01268","Terrabacteria"
"PF01269","Euryarchaeota"
"PF01270","LBCA"
"PF01272","LBCA"
"PF01274","LBCA"
"PF01276","unclassifiable"
"PF01278","LBCA"
"PF01280","LACA"
"PF01281","LBCA"
"PF01282","LACA"
"PF01283","TACK"
"PF01287","Euryarchaeota"
"PF01288","LBCA"
"PF01289","LBCA"
"PF01292","LUCA"
"PF01293","LBCA"
"PF01294","unclassifiable"
"PF01295","Proteobacteria"
"PF01297","LUCA"
"PF01298","Proteobacteria"
"PF01300","LUCA"
"PF01301","LBCA"
"PF01306","post-LBCA"
"PF01308","PVC"
"PF01311","post-LBCA"
"PF01312","LBCA"
"PF01313","LBCA"
"PF01314","LUCA"
"PF01315","LUCA"
"PF01316","Terrabacteria"
"PF01321","LUCA"
"PF01322","post-LBCA"
"PF01323","unclassifiable"
"PF01325","LUCA"
"PF01326","LUCA"
"PF01327","LBCA"
"PF01329","unclassifiable"
"PF01330","LBCA"
"PF01333","Terrabacteria"
"PF01336","preLUCA"
"PF01337","LBCA"
"PF01339","LUCA"
"PF01340","Proteobacteria"
"PF01341","LBCA"
"PF01343","LBCA"
"PF01344","LBCA"
"PF01345","preLUCA"
"PF01346","LBCA"
"PF01348","LBCA"
"PF01351","LACA"
"PF01355","Proteobacteria"
"PF01361","LBCA"
"PF01364","LBCA"
"PF01367","LBCA"
"PF01368","LUCA"
"PF01370","preLUCA"
"PF01371","CPR"
"PF01374","unclassifiable"
"PF01379","LBCA"
"PF01380","LUCA"
"PF01381","LACA"
"PF01383","Terrabacteria"
"PF01384","LUCA"
"PF01385","LUCA"
"PF01386","Proteobacteria"
"PF01389","unclassifiable"
"PF01391","LUCA"
"PF01396","unclassifiable"
"PF01400","LBCA"
"PF01401","LBCA"
"PF01402","LUCA"
"PF01405","Terrabacteria"
"PF01406","Inspect"
"PF01408","preLUCA"
"PF01409","LACA"
"PF01411","LUCA"
"PF01416","LBCA"
"PF01418","post-LBCA"
"PF01420","LUCA"
"PF01423","LACA"
"PF01424","LBCA"
"PF01425","preLUCA"
"PF01427","LBCA"
"PF01428","LACA"
"PF01430","Proteobacteria"
"PF01431","LBCA"
"PF01432","LUCA"
"PF01433","LBCA"
"PF01434","LBCA"
"PF01435","LUCA"
"PF01436","LUCA"
"PF01442","Proteobacteria"
"PF01443","LBCA"
"PF01446","LBCA"
"PF01447","LBCA"
"PF01450","LBCA"
"PF01451","LUCA"
"PF01455","LBCA"
"PF01457","LBCA"
"PF01458","LBCA"
"PF01464","LBCA"
"PF01467","unclassifiable"
"PF01468","Terrabacteria"
"PF01469","unclassifiable"
"PF01470","unclassifiable"
"PF01471","LBCA"
"PF01472","LUCA"
"PF01473","unclassifiable"
"PF01474","Terrabacteria"
"PF01475","LBCA"
"PF01476","LBCA"
"PF01478","LBCA"
"PF01479","LUCA"
"PF01483","LBCA"
"PF01487","LUCA"
"PF01488","LUCA"
"PF01491","Proteobacteria"
"PF01493","LUCA"
"PF01494","LUCA"
"PF01496","LBCA"
"PF01497","LUCA"
"PF01501","LBCA"
"PF01502","LBCA"
"PF01503","LUCA"
"PF01507","LUCA"
"PF01509","LUCA"
"PF01510","LBCA"
"PF01512","LBCA"
"PF01513","LUCA"
"PF01514","post-LBCA"
"PF01515","LBCA"
"PF01520","LBCA"
"PF01521","Terrabacteria"
"PF01522","LUCA"
"PF01523","LUCA"
"PF01526","LBCA"
"PF01527","LBCA"
"PF01531","LBCA"
"PF01535","LBCA"
"PF01541","LUCA"
"PF01544","LUCA"
"PF01545","LUCA"
"PF01546","preLUCA"
"PF01547","LUCA"
"PF01548","LUCA"
"PF01551","LUCA"
"PF01553","LBCA"
"PF01554","LBCA"
"PF01555","LUCA"
"PF01556","LUCA"
"PF01557","LUCA"
"PF01558","LUCA"
"PF01564","LUCA"
"PF01565","LBCA"
"PF01566","LBCA"
"PF01568","LUCA"
"PF01569","LUCA"
"PF01571","unclassifiable"
"PF01575","LUCA"
"PF01578","LUCA"
"PF01580","LBCA"
"PF01583","LBCA"
"PF01584","LBCA"
"PF01588","LUCA"
"PF01590","unclassifiable"
"PF01592","LUCA"
"PF01593","LUCA"
"PF01594","LUCA"
"PF01595","LBCA"
"PF01596","LUCA"
"PF01597","LUCA"
"PF01599","LACA"
"PF01609","preLUCA"
"PF01610","LBCA"
"PF01612","LBCA"
"PF01613","LUCA"
"PF01614","LBCA"
"PF01617","Proteobacteria"
"PF01618","LBCA"
"PF01619","LBCA"
"PF01624","LACA"
"PF01625","LUCA"
"PF01627","LUCA"
"PF01628","LBCA"
"PF01629","Euryarchaeota"
"PF01632","LBCA"
"PF01633","LBCA"
"PF01634","LUCA"
"PF01636","LUCA"
"PF01637","LUCA"
"PF01638","LUCA"
"PF01640","FCB"
"PF01641","LUCA"
"PF01642","LBCA"
"PF01643","LBCA"
"PF01645","LUCA"
"PF01648","LBCA"
"PF01649","LBCA"
"PF01650","Proteobacteria"
"PF01653","LBCA"
"PF01654","LBCA"
"PF01655","LACA"
"PF01656","LUCA"
"PF01658","LUCA"
"PF01661","LUCA"
"PF01663","preLUCA"
"PF01667","LACA"
"PF01668","LBCA"
"PF01670","LACA"
"PF01674","post-LBCA"
"PF01676","LUCA"
"PF01678","post-LBCA"
"PF01679","LBCA"
"PF01680","Inspect"
"PF01687","LBCA"
"PF01693","post-LBCA"
"PF01694","LUCA"
"PF01695","LBCA"
"PF01697","post-LBCA"
"PF01699","LUCA"
"PF01701","Terrabacteria"
"PF01702","LACA"
"PF01704","LBCA"
"PF01706","post-LBCA"
"PF01709","LBCA"
"PF01710","post-LBCA"
"PF01712","LBCA"
"PF01713","post-LBCA"
"PF01715","LBCA"
"PF01716","Terrabacteria"
"PF01717","LUCA"
"PF01719","post-LBCA"
"PF01722","LBCA"
"PF01724","post-LBCA"
"PF01725","LBCA"
"PF01726","LBCA"
"PF01728","LACA"
"PF01729","LUCA"
"PF01730","LBCA"
"PF01734","LBCA"
"PF01737","Terrabacteria"
"PF01738","LUCA"
"PF01739","LBCA"
"PF01740","LBCA"
"PF01741","LBCA"
"PF01743","LBCA"
"PF01744","Terrabacteria"
"PF01746","LBCA"
"PF01747","LBCA"
"PF01750","LUCA"
"PF01751","LUCA"
"PF01752","post-LBCA"
"PF01755","LBCA"
"PF01756","post-LBCA"
"PF01757","LUCA"
"PF01758","LUCA"
"PF01761","LBCA"
"PF01764","LBCA"
"PF01765","LBCA"
"PF01769","LUCA"
"PF01773","LBCA"
"PF01774","LBCA"
"PF01775","LACA"
"PF01780","LACA"
"PF01782","LBCA"
"PF01783","LBCA"
"PF01784","LUCA"
"PF01786","post-LBCA"
"PF01788","Terrabacteria"
"PF01789","Terrabacteria"
"PF01790","LBCA"
"PF01791","LUCA"
"PF01794","LBCA"
"PF01795","Terrabacteria"
"PF01796","LACA"
"PF01797","LBCA"
"PF01798","Euryarchaeota"
"PF01799","LUCA"
"PF01804","LBCA"
"PF01807","LBCA"
"PF01808","LUCA"
"PF01809","LBCA"
"PF01810","LBCA"
"PF01812","LBCA"
"PF01813","LBCA"
"PF01814","LBCA"
"PF01816","post-LBCA"
"PF01817","LUCA"
"PF01820","LBCA"
"PF01823","LBCA"
"PF01828","Terrabacteria"
"PF01832","LBCA"
"PF01833","LBCA"
"PF01835","LBCA"
"PF01837","Inspect"
"PF01839","LUCA"
"PF01841","preLUCA"
"PF01842","LUCA"
"PF01844","preLUCA"
"PF01845","Proteobacteria"
"PF01849","LACA"
"PF01850","LUCA"
"PF01852","post-LBCA"
"PF01855","LUCA"
"PF01856","Proteobacteria"
"PF01861","post-LBCA"
"PF01862","LUCA"
"PF01863","LUCA"
"PF01864","post-LBCA"
"PF01865","LUCA"
"PF01866","LACA"
"PF01867","LUCA"
"PF01868","LACA"
"PF01869","LUCA"
"PF01870","LACA"
"PF01871","LBCA"
"PF01872","LUCA"
"PF01873","LACA"
"PF01874","LUCA"
"PF01875","LBCA"
"PF01876","Euryarchaeota"
"PF01877","LACA"
"PF01878","LUCA"
"PF01880","LUCA"
"PF01881","LBCA"
"PF01882","LUCA"
"PF01883","LBCA"
"PF01884","Terrabacteria"
"PF01885","LBCA"
"PF01886","LACA"
"PF01887","LBCA"
"PF01888","LBCA"
"PF01889","Euryarchaeota"
"PF01890","Inspect"
"PF01891","LBCA"
"PF01893","Euryarchaeota"
"PF01894","LBCA"
"PF01895","LUCA"
"PF01896","Euryarchaeota"
"PF01899","LBCA"
"PF01900","LACA"
"PF01901","Euryarchaeota"
"PF01902","LUCA"
"PF01903","LUCA"
"PF01904","LUCA"
"PF01905","LUCA"
"PF01906","LBCA"
"PF01907","LACA"
"PF01909","LUCA"
"PF01910","LBCA"
"PF01912","LACA"
"PF01913","LACA"
"PF01914","LBCA"
"PF01915","LBCA"
"PF01916","LUCA"
"PF01917","LACA"
"PF01918","TACK"
"PF01920","LACA"
"PF01921","LACA"
"PF01922","LACA"
"PF01923","LACA"
"PF01924","LBCA"
"PF01925","preLUCA"
"PF01926","LUCA"
"PF01927","LUCA"
"PF01928","LBCA"
"PF01930","LUCA"
"PF01931","LBCA"
"PF01933","Inspect"
"PF01934","LUCA"
"PF01935","LUCA"
"PF01936","LUCA"
"PF01937","LBCA"
"PF01938","LUCA"
"PF01939","LACA"
"PF01940","LACA"
"PF01941","LUCA"
"PF01943","preLUCA"
"PF01944","LUCA"
"PF01946","LUCA"
"PF01947","Terrabacteria"
"PF01948","post-LBCA"
"PF01949","LACA"
"PF01950","unclassifiable"
"PF01951","LUCA"
"PF01954","LACA"
"PF01955","Inspect"
"PF01956","LACA"
"PF01957","LBCA"
"PF01958","unclassifiable"
"PF01959","post-LBCA"
"PF01960","LUCA"
"PF01963","LBCA"
"PF01964","LUCA"
