Clans,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,U,O,Clan_ancestor,Clans_copies,Clans_clustering,Clans_transfer,Clans_GC,median_ClanLen,mean_ClanLen
CL0125,0.082180587,0.056265764,0.046970641,0.062606226,0.014623569,0.052234669,0.036497544,0.079662602,0.027398725,0.052015707,0.084961675,0.045425684,0.020091636,0.042022747,0.045166753,0.062192193,0.053718886,0.021120504,0.047134024,0.067709863,0,0,preLUCA,3,0.912286123,0.181965217,0.477323334,109,123.9872214
CL0327,0.104362683,0.047045195,0.050780455,0.057107932,0.010172249,0.051593888,0.046426672,0.08441095,0.008759502,0.051024065,0.07622232,0.035961156,0.015372292,0.029405062,0.04316329,0.079715023,0.087254595,0.014354245,0.03338415,0.073484277,0,0,LUCA,5,0.938655124,0.225310228,0.510758154,106,113.0954572
CL0714,0.108873856,0.03621477,0.022669878,0.016121399,0.004722262,0.017715584,0.018517008,0.094290645,0.026772906,0.070443534,0.147833315,0.019525168,0.041711506,0.079313618,0.042663306,0.047947904,0.056523216,0.034425255,0.033322919,0.080391952,0,0,postLUCA,2,1.034365134,0.201830167,0.466024968,444,421.1027054
CL0026,0.07126088,0.036701976,0.050261002,0.052552699,0.009533123,0.053947697,0.030984909,0.089651331,0.036334309,0.055232824,0.066600099,0.041089249,0.030978275,0.044341207,0.059382921,0.05704924,0.07246383,0.016212421,0.039396875,0.086025135,0,0,preLUCA,3,0.866090973,0.194095696,0.478206036,101,97.55722057
CL0014,0.090577954,0.053507364,0.037071844,0.063301248,0.010345151,0.064512839,0.032244303,0.089071252,0.028128476,0.055090007,0.096187724,0.042118141,0.018826264,0.042144492,0.051246369,0.052628322,0.051140863,0.014861105,0.033912178,0.073084102,0,0,preLUCA,4,0.844649208,0.154160339,0.498126822,184,185.6159191
PF00118,0.118335006,0.041586235,0.032696639,0.068700852,0.004585189,0.089541498,0.028362629,0.084018088,0.009231443,0.073906737,0.086884668,0.07724927,0.023575425,0.015904833,0.024576274,0.04668055,0.061808491,0.001637387,0.012526746,0.098192039,0,0,modern,1,0.724638131,0.02686985,0.486760687,500,464.9270452
PF00119,0.085859977,0.025557801,0.030543,0.014336058,0.004827246,0.028049807,0.018062783,0.076401837,0.015484874,0.098416993,0.147295531,0.032354108,0.039444942,0.096040581,0.04546653,0.048481876,0.052632975,0.017368426,0.028360169,0.095014485,0,0,modern,1,1.125109669,0.0949258,0.409819594,214,212.3173643
CL0286,0.084641118,0.073385289,0.034045664,0.061813182,0.011038797,0.074910822,0.034312522,0.072017859,0.028912372,0.04948499,0.102119083,0.03620276,0.020001601,0.038033636,0.057835119,0.05520937,0.051727966,0.016861416,0.034277141,0.063169293,0,0,LUCA,8,0.824017474,0.087669644,0.489140555,294,304.6171512
PF00122,0.11501917,0.04649784,0.020972879,0.046427572,0.009066967,0.060361929,0.027997957,0.086795621,0.007541152,0.077629974,0.099452252,0.040848541,0.021900612,0.027047908,0.048106829,0.06162675,0.067331528,0.00749831,0.011296178,0.11658003,0,0,LUCA,1,0.974106652,0.2170235,0.516775851,181,179.8200616
PF00124,0.096438926,0.032879195,0.038384237,0.019578143,0.009608647,0.035321218,0.021659317,0.104620962,0.028649712,0.074020149,0.109727391,0.007905105,0.026996522,0.086482018,0.045395612,0.061138688,0.050875478,0.046259971,0.039135306,0.064923404,0,0,modern,1,0.930004982,0.1969275,0.484887082,254,266.3005587
CL0123,0.084338561,0.080999716,0.032899166,0.052387723,0.008810154,0.077356863,0.041121634,0.061905506,0.020274341,0.061062648,0.113852281,0.063608806,0.019841423,0.03087903,0.0338819,0.059675664,0.051063846,0.012923111,0.031629656,0.061487969,1.03142E-08,0,preLUCA,23,0.811578397,0.200067261,0.460788735,59,64.179564
CL0536,0.076042193,0.052640842,0.059520891,0.053550936,0.018617834,0.065903496,0.030621179,0.084459928,0.026540522,0.075865722,0.083942846,0.054702413,0.020103635,0.038687482,0.026693863,0.065419158,0.048120253,0.012495473,0.036398113,0.069673219,0,0,preLUCA,2,0.640500046,0.23971725,0.479647005,35,37.52123979
CL0039,0.083863075,0.059586632,0.036336144,0.061944718,0.012587058,0.07414917,0.033242341,0.068314378,0.026884559,0.059414975,0.094431181,0.058975817,0.021013073,0.043524241,0.044034427,0.05359305,0.048514008,0.013661596,0.037601368,0.068328189,0,0,preLUCA,16,0.850584665,0.105235045,0.468856587,176,215.3376544
CL0028,0.10408856,0.056878071,0.037577323,0.061599627,0.009403441,0.049263058,0.037017632,0.08741386,0.026253545,0.047848373,0.091465679,0.036858003,0.01882522,0.040139087,0.058994119,0.058705596,0.052297916,0.018343837,0.03740509,0.069621966,0,9.49985E-10,preLUCA,7,0.917783454,0.212444141,0.511519749,202,192.4104211
CL0194,0.068592048,0.066381301,0.034459379,0.058575262,0.009581635,0.081460527,0.030845478,0.064501075,0.017781943,0.071127772,0.084747372,0.084908821,0.019407176,0.037691136,0.040518231,0.055143945,0.045300734,0.010329984,0.047052771,0.071593411,0,0,LUCA,1,0.875031463,0.06795315,0.447986312,348,300.0954262
PF00137,0.187968314,0.020711303,0.012274064,0.008768948,0.007483164,0.039158115,0.025822417,0.157508535,0.001772674,0.12365941,0.122529628,0.019787608,0.036231848,0.047083832,0.025288727,0.043427641,0.034331089,0.001564124,0.013192012,0.071436547,0,0,postLUCA,1,1.161344755,0.1003584,0.551768779,60,59.86502826
PF00140,0.077933096,0.084045523,0.011707488,0.060997709,0.000673132,0.145233767,0.04378556,0.054658587,0.005749436,0.077471361,0.129758688,0.06186833,0.033364533,0.009337619,0.038122351,0.032368743,0.035190612,0.001261427,0.040269698,0.05620234,0,0,postLUCA,1,0.514515675,0.05797045,0.460501842,32,31.33833079
CL0617,0.096477268,0.059750398,0.048264993,0.077036449,0.002522389,0.061471908,0.034422108,0.090605524,0.022643287,0.044383011,0.089735001,0.030906616,0.020484618,0.044995242,0.054927385,0.055754487,0.059345822,0.021906873,0.026960773,0.057405849,0,0,postLUCA,1,0.936260002,0.29673,0.52458135,309,313.9472704
CL0013,0.099958212,0.050111068,0.045403934,0.055997195,0.007621718,0.04932071,0.032514659,0.090210896,0.018436973,0.051809763,0.093066757,0.047425127,0.026148832,0.036003465,0.047311189,0.067128295,0.065007183,0.011611273,0.034479891,0.070432861,0,0,LUCA,1,0.868102304,0.163121783,0.491656671,285,276.8091978
CL0425,0.117626097,0.028823899,0.021132008,0.023092444,0.005689683,0.028960169,0.021328404,0.089820765,0.014783703,0.077584765,0.141869158,0.026739487,0.03809557,0.074758303,0.043476811,0.059572712,0.046954911,0.021882864,0.032496767,0.085311481,0,0,preLUCA,2,1.05746156,0.1229754,0.467632491,291,279.8916934
CL0043,0.094103918,0.049369195,0.033756925,0.062270114,0.011015149,0.077909851,0.034807222,0.070777791,0.027530435,0.060515656,0.091475397,0.052788149,0.021646291,0.037215829,0.050389315,0.053580274,0.050481405,0.011371692,0.034348667,0.074646725,1.57843E-07,7.89215E-08,preLUCA,3,0.900364512,0.1591499,0.476346771,236,235.5027579
CL0163,0.077272976,0.05577831,0.039552199,0.069983641,0.01076359,0.065193856,0.033298485,0.075144697,0.035918873,0.06451808,0.094537109,0.052411514,0.022560439,0.040646101,0.046989869,0.051200381,0.047534831,0.014277287,0.037427354,0.064990405,0,0,preLUCA,2,0.901327793,0.1308774,0.479091717,197,197.4808299
CL0040,0.077476569,0.060906098,0.033522566,0.065845344,0.010491797,0.080082495,0.035496915,0.077942442,0.023400294,0.058996096,0.094844465,0.048828733,0.022766954,0.048851213,0.046440618,0.048399369,0.049211904,0.014728755,0.034544258,0.067223114,0,0,preLUCA,4,0.834625838,0.086193155,0.475520388,229,255.2710349
CL0061,0.10623694,0.051262193,0.034994725,0.055092474,0.012736981,0.063156747,0.030933553,0.085195475,0.028722058,0.059907708,0.095103455,0.046269935,0.023432257,0.038198061,0.047090862,0.055704299,0.054390837,0.008567304,0.031780605,0.071223531,0,2.7944E-09,preLUCA,8,0.804257088,0.13803306,0.489713368,351,335.7766386
CL0533,0.095542321,0.058428198,0.034947371,0.063443121,0.010035958,0.06396704,0.025365506,0.068015928,0.029319448,0.069274148,0.104582383,0.047793073,0.018409395,0.03963561,0.040988491,0.058383279,0.053814674,0.004814757,0.034882347,0.078356952,0,0,LUCA,1,0.900869665,0.083670379,0.473178739,117,125.4326974
CL0475,0.086153352,0.055696506,0.03705915,0.059120292,0.009914763,0.061695106,0.030754245,0.095443458,0.019314924,0.059228677,0.091825821,0.040193595,0.017089452,0.041306497,0.064627478,0.052311599,0.059095062,0.012529575,0.031690144,0.074950304,0,0,LUCA,5,0.867481552,0.186214143,0.499759234,158,169.9046565
PF00162,0.112074437,0.039849769,0.034508984,0.068684067,0.007509278,0.070478275,0.01988975,0.095151826,0.018588557,0.061605127,0.097488803,0.071181291,0.019366204,0.040109362,0.037864946,0.052465764,0.045799232,0.004282385,0.017356665,0.085745278,0,0,postLUCA,1,0.786584051,0.0695302,0.489280712,380,347.2822685
CL0492,0.065236583,0.098717228,0.033138725,0.041240392,0.009515947,0.07147612,0.049736662,0.100335161,0.015636879,0.053641409,0.096659822,0.091757168,0.014662127,0.029855277,0.028930899,0.043221448,0.041566651,0.004425697,0.034398774,0.075847032,0,0,LUCA,1,0.864916462,0.097349317,0.468436865,47,52.54013922
CL0021,0.069734489,0.063287883,0.034733722,0.062239614,0.008844693,0.071706429,0.0332706,0.087873427,0.017395092,0.065744439,0.08226461,0.062422379,0.018247175,0.037181039,0.043889804,0.05130026,0.056305618,0.009653409,0.02789023,0.096015087,0,0,preLUCA,8,0.882328876,0.11202478,0.479817078,72,77.53591577
CL0296,0.076620877,0.055406805,0.024302619,0.063281896,0.014098423,0.076621438,0.028270556,0.109860108,0.019165992,0.054188495,0.074906339,0.051869855,0.019920202,0.02490435,0.060353707,0.048058416,0.044577088,0.011280368,0.029281958,0.113030508,0,0,preLUCA,1,0.903634645,0.260834067,0.513230831,99,92.25769063
CL0099,0.126456654,0.053694769,0.033278156,0.054747903,0.010732724,0.067989056,0.032024834,0.080340011,0.020000562,0.060523787,0.087574142,0.043862919,0.017457998,0.03468651,0.048779578,0.056524916,0.051651731,0.00938181,0.025096325,0.085195614,0,0,LUCA,1,0.812761146,0.170589083,0.498675483,450,402.7777154
PF00173,0.076181292,0.037121982,0.04352472,0.07654617,0.009669264,0.068440668,0.037730112,0.098412781,0.045453361,0.044124163,0.077840618,0.063080438,0.012049658,0.027522218,0.034611275,0.050631152,0.055991382,0.025002823,0.048068319,0.067997602,0,0,postLUCA,1,0.909336373,0.1315445,0.487142088,70,68.07451212
CL0072,0.086301538,0.048564205,0.036972041,0.066288095,0.005261866,0.060739952,0.038288237,0.082170763,0.019342296,0.053425989,0.082482678,0.048755113,0.013281189,0.036791553,0.05124646,0.05264204,0.076797742,0.016039574,0.035701907,0.088906764,0,0,preLUCA,3,0.773686413,0.225031146,0.489092816,62,69.94790782
CL0091,0.115905288,0.069454664,0.020172549,0.061716262,0.011173997,0.071511637,0.02952923,0.082811688,0.027522563,0.048263206,0.100500343,0.032725328,0.019890384,0.03469665,0.053477798,0.046588404,0.046246071,0.02360389,0.029967514,0.074242533,0,1.07354E-07,LUCA,1,0.82293505,0.23416325,0.529822286,106,105.2584847
PF00177,0.109475649,0.096028901,0.048250421,0.042612155,0.003234465,0.076794916,0.029567828,0.054649832,0.013196476,0.055863452,0.067440311,0.098931657,0.034118406,0.021329913,0.041131578,0.052307606,0.041559027,0.006271494,0.023296731,0.083939183,0,0,unclassifiable,NA,0.888640646,0.03991855,0.474850564,149,147.1763812
CL0270,0.115490149,0.046826134,0.038180684,0.063663732,0.008343826,0.06469965,0.02941877,0.080334548,0.021619678,0.06341409,0.0924019,0.058065347,0.026342419,0.033344275,0.045848464,0.054017293,0.052360091,0.006646589,0.023682239,0.075300122,0,0,LUCA,1,0.816290611,0.11104736,0.498403052,323,339.6077027
CL0037,0.10818048,0.06251057,0.046719007,0.05720104,0.008797841,0.052407594,0.048038112,0.088904271,0.017374739,0.045532142,0.079330183,0.049350052,0.019390707,0.037969005,0.041782477,0.061394106,0.051333334,0.020790997,0.049816779,0.053176564,0,0,postLUCA,8,0.941207391,0.184261592,0.502171809,135,142.3209175
PF00183,0.069559979,0.045476197,0.041496431,0.077341059,0.004097809,0.095828588,0.040313229,0.04421592,0.0181768,0.050024303,0.106219795,0.084208699,0.025793662,0.042658107,0.04068298,0.059047259,0.046016415,0.009862099,0.036991029,0.06198964,0,0,postLUCA,1,0.847500799,0.0952326,0.425661577,403,359.4255054
CL0387,0.086468611,0.063452215,0.030539255,0.068267563,0.006824424,0.066564642,0.027835119,0.084037617,0.023671415,0.064221643,0.095367789,0.045212764,0.020515434,0.039488348,0.050650536,0.050478751,0.057828568,0.017863536,0.024847844,0.075863925,0,0,LUCA,1,0.842908714,0.14885375,0.490070811,173,171.5736832
CL0659,0.107976072,0.057799569,0.067933025,0.053988377,0.007094168,0.0556057,0.038546887,0.08885136,0.033771835,0.040874852,0.069235188,0.04052838,0.027480202,0.03412171,0.036393859,0.07048698,0.052435038,0.019843523,0.041716868,0.055316406,0,0,LUCA,1,0.83307011,0.1986935,0.492300952,114,114.4548146
