ancestor,pfamIDs,Clans,avg_transfer
LUCA,PF00171,CL0099,0.2826165
LBCA,PF00173,PF00173,0.1315445
LUCA,PF00174,CL0072,0.15118
LUCA,PF00175,CL0091,0.176537
LUCA,PF00176,CL0023,0.2166625
unclassifiable,PF00177,PF00177,0.03991855
LUCA,PF00180,CL0270,0.1048805
Euryarchaeota,PF00181,CL0021,0.066955
LBCA,PF00182,CL0037,0.266737
LBCA,PF00183,PF00183,0.0952326
LUCA,PF00185,CL0063,0.08717965
LBCA,PF00186,CL0387,0.1382425
LUCA,PF00188,CL0659,0.1986935
TACK,PF00189,PF00189,0.0405894
LBCA,PF00190,CL0029,0.3003745
LBCA,PF00194,PF00194,0.1453135
LBCA,PF00195,CL0046,0.132893
LBCA,PF00196,CL0123,0.453097
LUCA,PF00198,CL0149,0.08993845
LBCA,PF00199,PF00199,0.2373625
LBCA,PF00201,CL0113,0.337769
preLUCA,PF00202,CL0061,0.1449205
unclassifiable,PF00203,PF00203,0.0513152
unclassifiable,PF00204,CL0329,0.04618265
LUCA,PF00205,CL0063,0.168981
LUCA,PF00206,PF00206,0.09541405
LBCA,PF00207,CL0159,0.1206645
preLUCA,PF00208,CL0063,0.148818
LBCA,PF00209,CL0062,0.136581
LUCA,PF00210,CL0044,0.1635355
LUCA,PF00211,CL0276,0.22485
LBCA,PF00213,CL0255,0.08688035
LUCA,PF00215,CL0036,0.0898588
LBCA,PF00216,CL0548,0.0706722
post-LBCA,PF00217,CL0286,0.04532965
LBCA,PF00218,CL0036,0.0982642
LBCA,PF00221,PF00221,0.153174
Terrabacteria,PF00223,PF00223,0.1152017
LUCA,PF00224,CL0036,0.0547975
LUCA,PF00226,CL0392,0.121948
LBCA,PF00227,CL0052,0.04685755
LUCA,PF00230,CL0716,0.1852105
LBCA,PF00231,PF00231,0.06313375
LBCA,PF00232,CL0036,0.154944
LACA,PF00237,PF00237,0.05256025
LACA,PF00238,PF00238,0.0424061
unclassifiable,PF00239,PF00239,0.376101
LBCA,PF00245,CL0088,0.1443148
LUCA,PF00246,CL0105,0.2331525
LUCA,PF00248,CL0036,0.3042915
LBCA,PF00251,CL0143,0.2033245
LACA,PF00252,CL0021,0.04806205
unclassifiable,PF00253,PF00253,0.0651689
LBCA,PF00254,CL0487,0.09235695
post-LBCA,PF00255,CL0172,0.195993
LBCA,PF00258,CL0042,0.1472975
LBCA,PF00263,PF00263,0.116924
LBCA,PF00264,CL0205,0.3405235
LBCA,PF00265,CL0023,0.08562535
preLUCA,PF00266,CL0061,0.140583
Proteobacteria,PF00267,CL0193,0.1462006
LBCA,PF00268,CL0044,0.134172
Terrabacteria,PF00269,PF00269,0.1570995
LUCA,PF00270,CL0023,0.154506
preLUCA,PF00271,CL0023,0.249413
LBCA,PF00274,CL0105,0.128753
LBCA,PF00275,CL0290,0.06416245
LBCA,PF00276,PF00276,0.0576516
LUCA,PF00278,CL0105,0.125189
CPR,PF00281,CL0652,0.05349755
LUCA,PF00282,CL0061,0.2050415
Terrabacteria,PF00283,PF00283,0.145508
Terrabacteria,PF00284,PF00284,0.191416
unclassifiable,PF00285,PF00285,0.1143315
LUCA,PF00288,CL0329,0.09149445
unclassifiable,PF00289,CL0063,0.09226225
LUCA,PF00290,CL0036,0.07997105
LUCA,PF00291,CL0063,0.198897
LUCA,PF00293,CL0261,0.244249
LUCA,PF00294,CL0118,0.169894
LBCA,PF00295,CL0268,0.3122245
LBCA,PF00296,CL0036,0.3365055
LACA,PF00297,CL0105,0.06745535
LBCA,PF00298,PF00298,0.078432
LUCA,PF00300,CL0071,0.1970335
LBCA,PF00301,CL0045,0.2037285
LBCA,PF00302,CL0149,0.170613
LBCA,PF00303,PF00303,0.146103
post-LBCA,PF00305,PF00305,0.20898155
CPR,PF00306,PF00306,0.07616675
LBCA,PF00308,CL0023,0.06550205
post-LBCA,PF00309,PF00309,0.07319385
unclassifiable,PF00310,CL0052,0.09543085
LBCA,PF00311,CL0036,0.09890295
unclassifiable,PF00312,CL0600,0.0669663
unclassifiable,PF00313,CL0021,0.184182
post-LBCA,PF00314,CL0293,0.14521155
LBCA,PF00316,CL0171,0.0971693
LBCA,PF00317,PF00317,0.113693
LACA,PF00318,CL0067,0.0409254
LUCA,PF00324,CL0062,0.232747
LBCA,PF00325,CL0123,0.0791799
LUCA,PF00326,CL0028,0.261275
unclassifiable,PF00327,PF00327,0.07470195
post-LBCA,PF00328,CL0071,0.13240315
unclassifiable,PF00329,PF00329,0.0996018
LUCA,PF00330,PF00330,0.1012571
LBCA,PF00331,CL0036,0.2390535
post-LBCA,PF00332,CL0036,0.195842
unclassifiable,PF00333,CL0196,0.040023
Terrabacteria,PF00334,PF00334,0.09164045
LACA,PF00338,PF00338,0.0363576
LBCA,PF00342,CL0067,0.118827
unclassifiable,PF00343,CL0113,0.113424
unclassifiable,PF00344,CL0376,0.0369162
post-LBCA,PF00345,CL0159,0.273152
LUCA,PF00346,PF00346,0.08806115
LUCA,PF00347,PF00347,0.068736
LBCA,PF00348,CL0613,0.05666535
unclassifiable,PF00349,CL0108,0.08408575
unclassifiable,PF00350,CL0023,0.1305125
LBCA,PF00351,PF00351,0.1033641
Euryarchaeota,PF00352,CL0407,0.05291985
LBCA,PF00353,CL0592,0.6271135
LUCA,PF00355,CL0516,0.1939975
LBCA,PF00356,CL0123,0.532831
post-LBCA,PF00358,CL0105,0.210685
LBCA,PF00359,CL0340,0.1498425
LBCA,PF00360,CL0161,0.12657625
LUCA,PF00361,CL0425,0.145311
preLUCA,PF00364,CL0105,0.12202
LBCA,PF00365,CL0240,0.10541085
LBCA,PF00366,CL0021,0.06142505
post-LBCA,PF00367,PF00367,0.329765
LUCA,PF00368,PF00368,0.09263155
LUCA,PF00370,CL0108,0.285219
preLUCA,PF00374,PF00374,0.1675325
LBCA,PF00375,PF00375,0.1615315
LBCA,PF00376,CL0123,0.3186045
LBCA,PF00378,CL0127,0.3291895
unclassifiable,PF00380,CL0329,0.04809925
LBCA,PF00381,PF00381,0.124557
LACA,PF00382,CL0065,0.0732433
LUCA,PF00383,CL0109,0.1523985
LUCA,PF00384,PF00384,0.2189485
LBCA,PF00388,CL0036,0.241816
LUCA,PF00389,CL0063,0.1435485
LBCA,PF00390,CL0603,0.11072
LUCA,PF00391,CL0364,0.08912
LBCA,PF00392,CL0123,0.4652845
LBCA,PF00393,CL0106,0.1380295
LBCA,PF00394,CL0026,0.255396
LBCA,PF00395,PF00395,0.3537285
LUCA,PF00398,CL0063,0.0625966
LUCA,PF00400,CL0186,0.4390975
post-LBCA,PF00401,CL0753,0.116263
unclassifiable,PF00403,CL0704,0.1741585
LBCA,PF00404,CL0220,0.163
LBCA,PF00406,CL0023,0.0977725
LBCA,PF00408,PF00408,0.0877668
post-LBCA,PF00410,PF00410,0.05138735
unclassifiable,PF00411,CL0267,0.0493296
LUCA,PF00413,CL0126,0.213301
LBCA,PF00415,CL0186,0.5231635
LACA,PF00416,CL0303,0.04056895
Proteobacteria,PF00419,CL0204,0.294303
LUCA,PF00420,PF00420,0.0846481
Terrabacteria,PF00421,PF00421,0.2266999
LBCA,PF00425,PF00425,0.0808608
Terrabacteria,PF00427,PF00427,0.3542465
LACA,PF00428,PF00428,0.0762943
LBCA,PF00430,CL0255,0.07489535
unclassifiable,PF00431,CL0164,0.1467865
LBCA,PF00432,CL0059,0.2801835
LBCA,PF00436,CL0021,0.1323865
LUCA,PF00437,CL0023,0.08544075
LUCA,PF00438,PF00438,0.109745
unclassifiable,PF00440,CL0123,0.4550035
LUCA,PF00441,CL0087,0.282177
LBCA,PF00444,PF00444,0.1100473
post-LBCA,PF00445,PF00445,0.1274455
LUCA,PF00448,CL0023,0.02994365
LBCA,PF00449,CL0036,0.1678955
post-LBCA,PF00450,CL0028,0.1143011
post-LBCA,PF00453,PF00453,0.07829395
LBCA,PF00455,CL0063,0.29141
LUCA,PF00456,CL0254,0.1240205
LBCA,PF00457,CL0004,0.1934795
LUCA,PF00459,CL0171,0.1002618
LBCA,PF00460,PF00460,0.170824
LBCA,PF00462,CL0172,0.1066565
Proteobacteria,PF00463,CL0036,0.137712
LUCA,PF00464,CL0061,0.08739685
LUCA,PF00465,CL0224,0.2930995
LUCA,PF00466,PF00466,0.03515665
LACA,PF00467,CL0010,0.105925
LBCA,PF00468,PF00468,0.1236585
LBCA,PF00471,CL0167,0.109009
LBCA,PF00472,CL0337,0.06938765
LBCA,PF00474,CL0062,0.2472895
unclassifiable,PF00475,CL0329,0.0966318
unclassifiable,PF00476,PF00476,0.0752381
LUCA,PF00478,CL0036,0.0543743
LBCA,PF00479,CL0063,0.112241
LBCA,PF00480,CL0108,0.1840255
LBCA,PF00481,CL0238,0.0986419
LACA,PF00482,PF00482,0.06208785
LUCA,PF00483,CL0110,0.136432
LUCA,PF00484,PF00484,0.1650235
LBCA,PF00485,CL0023,0.1274605
LBCA,PF00486,CL0123,0.277982
LBCA,PF00487,CL0713,0.202634
LUCA,PF00488,CL0023,0.06199755
LBCA,PF00490,CL0036,0.0760744
LUCA,PF00491,CL0302,0.1331575
unclassifiable,PF00493,CL0023,0.0755074
LBCA,PF00494,CL0613,0.1031225
LUCA,PF00496,CL0177,0.2518445
unclassifiable,PF00497,CL0177,0.27723
LBCA,PF00498,CL0357,0.171888
LBCA,PF00499,PF00499,0.0620749
LUCA,PF00501,CL0378,0.3161425
Terrabacteria,PF00502,CL0090,0.4097725
Terrabacteria,PF00504,PF00504,0.4211635
LACA,PF00507,PF00507,0.06236685
LUCA,PF00510,PF00510,0.1028415
unclassifiable,PF00512,CL0025,0.255961
LUCA,PF00515,CL0020,0.3683125
LBCA,PF00520,CL0030,0.174994
LBCA,PF00521,PF00521,0.0543349
LUCA,PF00528,CL0404,0.5020065
LBCA,PF00529,CL0105,0.3290665
LBCA,PF00532,CL0144,0.2486905
LBCA,PF00533,CL0459,0.176308
preLUCA,PF00534,CL0113,0.434651
preLUCA,PF00535,CL0110,0.5438595
Proteobacteria,PF00536,CL0003,0.15120005
LBCA,PF00542,PF00542,0.11452
unclassifiable,PF00543,CL0089,0.0989542
LBCA,PF00544,CL0268,0.2873225
LBCA,PF00545,PF00545,0.1507795
LBCA,PF00547,PF00547,0.1678525
LUCA,PF00549,CL0506,0.09932745
LBCA,PF00550,CL0314,0.2246875
LUCA,PF00551,PF00551,0.0990667
post-LBCA,PF00553,CL0203,0.311338
unclassifiable,PF00556,PF00556,0.277642
LUCA,PF00557,PF00557,0.0992808
LBCA,PF00560,CL0022,0.5417925
preLUCA,PF00561,CL0028,0.3037475
unclassifiable,PF00562,CL0410,0.039432
LBCA,PF00563,CL0276,0.4118235
LUCA,PF00565,CL0010,0.1898965
LBCA,PF00570,CL0426,0.1061352
LBCA,PF00571,PF00571,0.3370215
unclassifiable,PF00572,PF00572,0.0611853
LUCA,PF00573,PF00573,0.04316705
LBCA,PF00574,CL0127,0.0953903
LUCA,PF00575,CL0021,0.04526385
post-LBCA,PF00576,CL0287,0.186381
post-LBCA,PF00577,CL0193,0.4030805
preLUCA,PF00578,CL0172,0.2067725
LUCA,PF00579,CL0039,0.0623501
LUCA,PF00580,CL0023,0.098515
LUCA,PF00581,CL0031,0.2183755
LUCA,PF00582,CL0039,0.1809355
preLUCA,PF00583,CL0257,0.393797
unclassifiable,PF00584,PF00584,0.0412498
LBCA,PF00585,CL0070,0.08090345
preLUCA,PF00586,PF00586,0.0898848
preLUCA,PF00587,CL0040,0.087802
LUCA,PF00588,CL0098,0.08421045
LUCA,PF00589,CL0382,0.2346155
LUCA,PF00590,PF00590,0.103759
LUCA,PF00591,PF00591,0.1028092
LBCA,PF00593,CL0193,0.6275335
unclassifiable,PF00595,CL0466,0.129461
LUCA,PF00596,PF00596,0.1813735
post-LBCA,PF00614,CL0479,0.323214
unclassifiable,PF00623,PF00623,0.0470489
post-LBCA,PF00625,CL0023,0.08649895
FCB,PF00629,CL0004,0.2167685
LUCA,PF00633,CL0198,0.1914795
unclassifiable,PF00636,CL0539,0.0660946
LBCA,PF00639,CL0487,0.109421
post-LBCA,PF00646,CL0271,0.1719575
LBCA,PF00648,CL0125,0.165014
post-LBCA,PF00652,CL0066,0.568885
LUCA,PF00654,PF00654,0.142823
unclassifiable,PF00656,CL0093,0.3681555
LBCA,PF00657,CL0264,0.1867335
LUCA,PF00662,PF00662,0.1011509
LBCA,PF00664,CL0241,0.2828365
LUCA,PF00665,CL0219,0.505343
LBCA,PF00667,CL0105,0.1553865
LBCA,PF00668,CL0149,0.524415
LBCA,PF00669,PF00669,0.1432495
LBCA,PF00670,CL0063,0.0941903
LUCA,PF00672,CL0681,0.292253
unclassifiable,PF00673,PF00673,0.0485574
LBCA,PF00675,CL0094,0.0924883
LBCA,PF00676,CL0254,0.0866254
LBCA,PF00677,CL0105,0.1170115
LBCA,PF00679,CL0437,0.07232385
LUCA,PF00682,CL0036,0.110223
LUCA,PF00684,PF00684,0.0925597
LBCA,PF00685,CL0023,0.496568
LBCA,PF00686,CL0369,0.1332615
LACA,PF00687,PF00687,0.0320021
LUCA,PF00689,PF00689,0.2145785
preLUCA,PF00690,PF00690,0.239208
LBCA,PF00691,PF00691,0.294452
LUCA,PF00692,CL0153,0.1017418
LBCA,PF00694,CL0364,0.09532145
LUCA,PF00696,PF00696,0.08402515
LUCA,PF00697,CL0036,0.1155325
LBCA,PF00698,CL0323,0.14727
LBCA,PF00699,PF00699,0.158332
LBCA,PF00700,PF00700,0.1527115
LUCA,PF00701,CL0036,0.1515795
LUCA,PF00702,CL0137,0.301407
LUCA,PF00703,CL0159,0.464428
LBCA,PF00704,CL0036,0.28036
LACA,PF00705,CL0060,0.0249441
unclassifiable,PF00707,PF00707,0.05617345
LUCA,PF00708,CL0622,0.11187275
LUCA,PF00709,CL0023,0.07325495
LBCA,PF00710,PF00710,0.0933297
unclassifiable,PF00712,CL0060,0.06417965
LBCA,PF00717,CL0299,0.11158515
unclassifiable,PF00719,PF00719,0.0814445
Terrabacteria,PF00720,PF00720,0.1637115
LBCA,PF00722,CL0004,0.2745785
LBCA,PF00723,CL0059,0.1123008
LUCA,PF00724,CL0036,0.260428
LUCA,PF00725,CL0106,0.1604115
LBCA,PF00728,CL0036,0.2378985
LUCA,PF00730,CL0198,0.1062433
LUCA,PF00731,CL0224,0.1073782
LBCA,PF00732,CL0063,0.344021
LUCA,PF00733,CL0039,0.19558
LACA,PF00736,PF00736,0.0418267
Terrabacteria,PF00737,PF00737,0.3293475
LBCA,PF00741,PF00741,0.1515255
LUCA,PF00742,CL0139,0.06314075
LBCA,PF00743,CL0063,0.40975
unclassifiable,PF00745,PF00745,0.0363173
LBCA,PF00746,PF00746,0.4329125
LUCA,PF00749,CL0039,0.0683367
LUCA,PF00750,CL0039,0.07495795
LACA,PF00752,CL0280,0.0450175
LUCA,PF00753,CL0381,0.293435
LBCA,PF00754,CL0202,0.4953085
post-LBCA,PF00755,CL0149,0.12544645
LBCA,PF00756,CL0028,0.297555
LBCA,PF00759,CL0059,0.262266
Proteobacteria,PF00760,CL0055,0.090367
LBCA,PF00762,CL0043,0.1035225
unclassifiable,PF00763,CL0603,0.121475
LUCA,PF00764,CL0039,0.0790677
Proteobacteria,PF00765,CL0257,0.266644
LACA,PF00766,CL0063,0.1465305
LBCA,PF00768,CL0013,0.06268155
LBCA,PF00771,PF00771,0.06949995
LBCA,PF00772,PF00772,0.0779777
unclassifiable,PF00773,PF00773,0.0636469
LBCA,PF00775,CL0287,0.3252125
LBCA,PF00781,CL0240,0.1452985
LUCA,PF00782,CL0031,0.1477605
LBCA,PF00793,CL0036,0.10682765
LUCA,PF00795,PF00795,0.144545
LBCA,PF00797,CL0125,0.2144945
LUCA,PF00800,CL0177,0.0808825
LBCA,PF00801,CL0159,0.327905
LBCA,PF00805,CL0505,0.575491
LACA,PF00808,CL0012,0.0872405
LUCA,PF00809,CL0036,0.0995718
post-LBCA,PF00813,PF00813,0.09548715
LBCA,PF00814,CL0108,0.05895225
LBCA,PF00815,CL0099,0.07566225
Proteobacteria,PF00816,PF00816,0.1218925
LBCA,PF00817,PF00817,0.1331205
LBCA,PF00821,CL0374,0.0920218
Terrabacteria,PF00823,CL0352,0.147494
LBCA,PF00825,CL0329,0.0699864
TACK,PF00827,CL0652,0.0488149
unclassifiable,PF00828,CL0588,0.04514985
post-LBCA,PF00829,PF00829,0.06089115
LBCA,PF00830,PF00830,0.0868039
LBCA,PF00831,CL0346,0.0274582
LACA,PF00832,PF00832,0.0449141
LACA,PF00833,PF00833,0.0355092
LACA,PF00834,CL0036,0.1120945
Proteobacteria,PF00839,PF00839,0.262724
LBCA,PF00842,CL0105,0.1429055
LBCA,PF00847,CL0081,0.262691
unclassifiable,PF00848,CL0209,0.300744
LBCA,PF00849,CL0649,0.140101
LUCA,PF00850,CL0302,0.1000227
LBCA,PF00852,CL0113,0.213726
LBCA,PF00854,CL0015,0.1925625
LBCA,PF00856,CL0489,0.1583655
LUCA,PF00857,PF00857,0.2942435
LBCA,PF00860,CL0062,0.166872
LBCA,PF00861,CL0267,0.0786651
LBCA,PF00862,CL0113,0.1104254
post-LBCA,PF00866,CL0051,0.341406
LACA,PF00867,CL0464,0.05489595
LBCA,PF00871,CL0108,0.1565135
LBCA,PF00872,CL0219,0.2320015
LBCA,PF00873,CL0322,0.3522085
post-LBCA,PF00874,CL0166,0.3616255
LUCA,PF00875,CL0039,0.149683
post-LBCA,PF00877,CL0125,0.159753
LUCA,PF00881,CL0529,0.2688275
LBCA,PF00882,CL0368,0.1257915
unclassifiable,PF00883,CL0105,0.08904565
LUCA,PF00884,CL0088,0.367671
unclassifiable,PF00885,PF00885,0.0851457
LBCA,PF00886,PF00886,0.06869365
FCB,PF00887,CL0632,0.09174685
LBCA,PF00889,PF00889,0.0766836
LUCA,PF00890,CL0063,0.129729
LUCA,PF00891,CL0063,0.2752755
LUCA,PF00892,CL0184,0.311932
LBCA,PF00893,CL0184,0.2953945
preLUCA,PF00899,CL0063,0.1463185
LACA,PF00900,CL0021,0.0432632
LACA,PF00902,PF00902,0.05812865
preLUCA,PF00903,CL0104,0.449036
LBCA,PF00905,CL0013,0.07727365
LUCA,PF00908,CL0029,0.181829
LUCA,PF00909,PF00909,0.11479165
LBCA,PF00912,CL0037,0.08897575
LBCA,PF00916,CL0062,0.2710555
LBCA,PF00919,CL0304,0.0646701
LUCA,PF00920,PF00920,0.09918395
LBCA,PF00923,CL0036,0.1261255
LUCA,PF00924,CL0010,0.1583165
LBCA,PF00925,PF00925,0.10411355
LACA,PF00926,PF00926,0.0742703
LBCA,PF00929,CL0219,0.1831885
LUCA,PF00930,CL0186,0.129997
LBCA,PF00931,CL0023,0.4800735
LUCA,PF00932,CL0159,0.2253395
LBCA,PF00933,CL0036,0.2113455
Terrabacteria,PF00934,CL0352,0.1372267
Euryarchaeota,PF00935,CL0167,0.03850675
LBCA,PF00936,PF00936,0.307177
LBCA,PF00939,CL0182,0.242208
LBCA,PF00941,CL0077,0.2191855
LBCA,PF00942,CL0203,0.148465
LUCA,PF00950,CL0142,0.1400115
LBCA,PF00953,PF00953,0.06209055
LACA,PF00958,PF00958,0.07617795
LBCA,PF00959,CL0037,0.272898
Terrabacteria,PF00960,CL0159,0.1369466
unclassifiable,PF00961,CL0324,0.21466705
LBCA,PF00962,CL0036,0.1502955
LBCA,PF00963,CL0203,0.1974175
LUCA,PF00970,CL0105,0.1610085
LBCA,PF00975,CL0028,0.42037
LUCA,PF00977,CL0036,0.05595345
LBCA,PF00982,CL0113,0.1082709
LBCA,PF00984,CL0106,0.165519
post-LBCA,PF00986,PF00986,0.06875715
post-LBCA,PF00988,CL0364,0.07204155
preLUCA,PF00989,CL0183,0.467509
LBCA,PF00990,CL0276,0.527639
LUCA,PF00994,PF00994,0.0986353
LUCA,PF00999,CL0064,0.1742735
unclassifiable,PF01000,PF01000,0.03083955
LACA,PF01008,CL0063,0.09213585
LBCA,PF01010,PF01010,0.08006955
LBCA,PF01011,CL0186,0.4085805
LUCA,PF01012,CL0039,0.0923035
LBCA,PF01014,CL0334,0.1185164
LACA,PF01015,PF01015,0.03224675
unclassifiable,PF01016,PF01016,0.08874605
LBCA,PF01018,PF01018,0.07556445
LBCA,PF01019,CL0052,0.1858395
Euryarchaeota,PF01020,CL0167,0.0534979
LUCA,PF01022,CL0123,0.230014
LUCA,PF01025,PF01025,0.062685
LUCA,PF01026,CL0036,0.06169245
LBCA,PF01027,CL0453,0.10213415
LBCA,PF01028,CL0382,0.126098
LBCA,PF01029,CL0633,0.0666769
FCB,PF01030,CL0022,0.35754455
LUCA,PF01032,CL0142,0.2238475
LBCA,PF01035,CL0123,0.140045
post-LBCA,PF01036,CL0192,0.14119365
LUCA,PF01037,CL0032,0.142473
LUCA,PF01039,CL0127,0.0798735
LUCA,PF01040,CL0613,0.0965324
LUCA,PF01041,CL0061,0.312887
LUCA,PF01042,CL0534,0.227162
LBCA,PF01043,PF01043,0.1300073
LUCA,PF01047,CL0123,0.3087575
LUCA,PF01048,CL0408,0.10701635
LUCA,PF01050,CL0029,0.163562
LBCA,PF01051,CL0123,0.27501
LBCA,PF01052,PF01052,0.0664101
LUCA,PF01053,CL0061,0.1305665
LBCA,PF01055,CL0036,0.2452535
LUCA,PF01058,CL0304,0.1048337
LBCA,PF01059,PF01059,0.0798034
LUCA,PF01061,CL0181,0.2134175
LBCA,PF01062,PF01062,0.157434
LBCA,PF01063,PF01063,0.1166105
LUCA,PF01066,PF01066,0.07972655
LBCA,PF01068,CL0179,0.103083
LUCA,PF01070,CL0036,0.160624
unclassifiable,PF01071,CL0179,0.08546395
LUCA,PF01073,CL0063,0.1987575
LUCA,PF01074,CL0158,0.204812
LUCA,PF01075,CL0113,0.157346
LBCA,PF01076,CL0169,0.2032715
LUCA,PF01077,PF01077,0.138354
LBCA,PF01078,CL0023,0.08033955
LBCA,PF01081,CL0036,0.1875895
Terrabacteria,PF01083,CL0028,0.12801655
LBCA,PF01084,CL0123,0.0790502
LBCA,PF01087,CL0265,0.1225495
LACA,PF01090,CL0123,0.0296245
LACA,PF01092,PF01092,0.0339045
post-LBCA,PF01094,CL0144,0.05605005
LBCA,PF01095,CL0268,0.1553825
LACA,PF01096,CL0167,0.07333945
LBCA,PF01098,CL0142,0.03666525
LBCA,PF01103,CL0193,0.0984847
LUCA,PF01106,CL0232,0.0685491
LBCA,PF01112,CL0052,0.1441115
LUCA,PF01113,CL0063,0.0865424
LBCA,PF01116,CL0036,0.156806
LUCA,PF01118,CL0063,0.0687515
unclassifiable,PF01119,CL0329,0.04738645
LBCA,PF01120,CL0036,0.4436695
LBCA,PF01121,CL0023,0.07638265
post-LBCA,PF01124,PF01124,0.245729
LBCA,PF01126,CL0230,0.1568335
LUCA,PF01127,CL0335,0.05718595
LBCA,PF01128,CL0110,0.0884758
LUCA,PF01131,PF01131,0.05221825
LBCA,PF01132,CL0021,0.08334665
LACA,PF01134,CL0063,0.06143035
LBCA,PF01135,CL0063,0.07670095
LBCA,PF01136,PF01136,0.07361995
LBCA,PF01137,CL0290,0.06637445
LBCA,PF01138,CL0329,0.0480251
LBCA,PF01139,PF01139,0.09333265
LUCA,PF01142,CL0649,0.0613259
LUCA,PF01144,CL0063,0.196664
LUCA,PF01145,CL0433,0.1335395
LBCA,PF01148,CL0234,0.0704018
LBCA,PF01149,PF01149,0.111342
LBCA,PF01152,CL0090,0.186257
LACA,PF01154,CL0046,0.113971
LUCA,PF01155,PF01155,0.1118845
LBCA,PF01156,CL0727,0.181443
LACA,PF01157,CL0010,0.0472337
LUCA,PF01161,PF01161,0.18271
LACA,PF01163,CL0016,0.07888445
