organisms,Organism Groups,Assembly,Size(Mb),GC%
Vibrio vulnificus MO6-24/O,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000186585.1,5.00777,46.9535
Mycoplasma hyopneumoniae 168-L,Bacteria;Terrabacteria group;Tenericutes,GCA_000400855.1,0.921093,28.5
Streptococcus suis SC84,Bacteria;Terrabacteria group;Firmicutes,GCA_000026725.1,2.0959,41.1
Chlorobium phaeobacteroides BS1,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000020545.1,2.7364,48.9
Paenarthrobacter aurescens TC1,Bacteria;Terrabacteria group;Actinobacteria,GCA_000014925.1,5.22665,62.3869
Acinetobacter baumannii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002116925.1,3.99043,39.1892
Anaplasma marginale,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003331125.1,1.17942,49.8
Bacillus licheniformis DSM 13 = ATCC 14580,Bacteria;Terrabacteria group;Firmicutes,GCA_000011645.1,4.2226,46.2
Bacteroides fragilis NCTC 9343,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000025985.1,5.2417,43.1233
Shigella dysenteriae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001932995.2,4.49066,50.8
Legionella pneumophila,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001941585.1,3.40914,38.3
Shigella sonnei,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002248755.1,4.69168,50.8
Streptococcus thermophilus,Bacteria;Terrabacteria group;Firmicutes,GCA_004114735.1,1.79484,39.2
Synechococcus elongatus PCC 7942 = FACHB-805,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_000012525.1,2.74227,55.456
Shewanella baltica OS678,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000178875.2,5.36877,46.276
Shewanella putrefaciens CN-32,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000016585.1,4.65922,44.5
Ehrlichia ruminantium,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_013460375.1,1.50592,27.5
Lactobacillus reuteri TD1,Bacteria;Terrabacteria group;Firmicutes,GCA_000439275.1,2.14545,38.8
Bacillus pumilus,Bacteria;Terrabacteria group;Firmicutes,GCA_001578205.1,3.87881,41.4612
Thermus thermophilus HB8,Bacteria;Terrabacteria group;Deinococcus-Thermus,GCA_000091545.1,2.11606,69.4857
Corynebacterium glutamicum,Bacteria;Terrabacteria group;Actinobacteria,GCA_001912155.1,3.26342,54
Mycoplasma genitalium G37,Bacteria;Terrabacteria group;Tenericutes,GCA_000027325.1,0.580076,31.7
Burkholderia cenocepacia,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001992495.1,7.85748,67.2
Burkholderia pseudomallei,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000756125.1,7.0854,68.2625
Burkholderia mallei,Bacteria;Proteobacteria;Betaproteobacteria,GCA_002346025.1,5.59205,68.5034
Corynebacterium jeikeium,Bacteria;Terrabacteria group;Actinobacteria,GCA_900477975.1,2.41465,61.7
Ehrlichia chaffeensis str. West Paces,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000632965.1,1.17094,30.1
Nitrosococcus oceani ATCC 19707,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000012805.1,3.52211,50.3241
Bacillus thuringiensis Bt407,Bacteria;Terrabacteria group;Firmicutes,GCA_000161495.1,6.02684,34.8
Ralstonia solanacearum OE1-1,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001879565.1,5.76297,66.868
Shigella boydii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001905915.1,4.36727,50.8
Vibrio cholerae MS6,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000829215.1,4.03094,47.4557
Streptococcus salivarius,Bacteria;Terrabacteria group;Firmicutes,GCA_902858935.1,2.18507,40
Rhodopseudomonas palustris,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_013415845.1,5.32241,65
Rhodobacter sphaeroides ATCC 17029,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000015985.1,4.48938,68.9779
Yersinia pseudotuberculosis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900637475.1,4.6102,47.5
Francisella tularensis,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000742095.1,1.81846,32.3
Mycoplasma agalactiae,Bacteria;Terrabacteria group;Tenericutes,GCA_009150585.1,0.916806,29.7
Lactobacillus delbrueckii subsp. delbrueckii,Bacteria;Terrabacteria group;Firmicutes,GCA_006740305.1,1.91031,50.1
Leptospira borgpetersenii,Bacteria;Spirochaetes;Spirochaetia,GCA_009858075.1,3.82112,40.0161
Brucella abortus 2308,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000054005.1,3.27831,57.2353
Mycoplasma capricolum subsp. capricolum ATCC 27343,Bacteria;Terrabacteria group;Tenericutes,GCA_000012765.1,1.01002,23.8
Bartonella bacilliformis KC583,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000015445.1,1.44502,38.2
Magnetospirillum magnetotacticum MS-1,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000829825.1,4.52393,63.6
Xanthomonas citri pv. citri,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000961335.1,5.22375,64.739
Campylobacter fetus subsp. testudinum Sp3,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_001484645.1,1.81905,33.1
Xanthomonas oryzae pv. oryzicola,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001021915.1,4.43083,64.1
Streptococcus mitis,Bacteria;Terrabacteria group;Firmicutes,GCA_002014795.1,2.03975,39.9
Sodalis glossinidius str. 'morsitans',Bacteria;Proteobacteria;Gammaproteobacteria,GCA_900004845.1,4.31166,54.3625
Salinispora tropica CNS197,Bacteria;Terrabacteria group;Actinobacteria,GCA_000514695.1,5.23672,69.4
Thermotoga neapolitana DSM 4359,Bacteria;Thermotogae;Thermotogae,GCA_000018945.1,1.88456,46.9
Clostridioides difficile,Bacteria;Terrabacteria group;Firmicutes,GCA_002007885.1,4.12438,28.7
Roseobacter denitrificans,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002983865.1,4.30879,58.9291
Cupriavidus pinatubonensis JMP134,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000203875.1,7.25529,64.4539
Desulfitobacterium hafniense DCB-2,Bacteria;Terrabacteria group;Firmicutes,GCA_000021925.1,5.27913,47.5
Aeromonas salmonicida,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002180335.1,4.93534,58.1473
Oenococcus oeni,Bacteria;Terrabacteria group;Firmicutes,GCA_002966535.1,1.87698,37.7
Lactobacillus casei DSM 20011 = JCM 1134 = ATCC 393,Bacteria;Terrabacteria group;Firmicutes,GCA_000829055.1,2.95296,47.8636
Salinispora arenicola CNS-205,Bacteria;Terrabacteria group;Actinobacteria,GCA_000018265.1,5.78636,69.5
Desulfovibrio vulgaris RCH1,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000166115.1,3.73436,63.2409
Delftia acidovorans SPH-1,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000018665.1,6.76751,66.5
Rickettsia bellii RML369-C,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000012385.1,1.52208,31.6
Ralstonia pickettii,Bacteria;Proteobacteria;Betaproteobacteria,GCA_013391365.1,5.32028,63.6
Lactobacillus helveticus,Bacteria;Terrabacteria group;Firmicutes,GCA_013280925.1,1.97964,36.6
Geobacillus stearothermophilus,Bacteria;Terrabacteria group;Firmicutes,GCA_003667675.1,2.87978,52.2
Rickettsia rickettsii str. Iowa,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000017445.3,1.2682,32.4
Photobacterium damselae,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_009665375.1,4.427,40.8619
Borreliella afzelii PKo,Bacteria;Spirochaetes;Spirochaetia,GCA_000165595.2,1.2325,27.6984
Faecalibacterium prausnitzii,Bacteria;Terrabacteria group;Firmicutes,GCA_003312465.1,2.97094,56.4
Bifidobacterium adolescentis,Bacteria;Terrabacteria group;Actinobacteria,GCA_003030905.1,2.19243,59.6
Vibrio harveyi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000770115.2,5.88149,44.9616
Saccharopolyspora erythraea NRRL 2338,Bacteria;Terrabacteria group;Actinobacteria,GCA_000062885.1,8.2128,71.1
Thermoanaerobacter ethanolicus JW 200,Bacteria;Terrabacteria group;Firmicutes,GCA_003722315.1,2.91128,34.2
Vibrio parahaemolyticus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004006515.1,5.16864,45.4
Methylorubrum extorquens PA1,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000018845.1,5.47115,68.2
Lactococcus garvieae,Bacteria;Terrabacteria group;Firmicutes,GCA_001645775.1,2.06836,38
Sulfolobus islandicus M.16.4,Archaea;TACK group;Crenarchaeota,GCA_000022445.1,2.58665,35
Methylobacterium radiotolerans JCM 2831,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000019725.1,6.89911,71.0375
Orientia tsutsugamushi,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_900327235.1,1.93212,30.2
Limosilactobacillus fermentum,Bacteria;Terrabacteria group;Firmicutes,GCA_001742205.1,1.94987,52.2
Clostridium kluyveri NBRC 12016,Bacteria;Terrabacteria group;Firmicutes,GCA_000010265.1,3.9553,32.0209
Porphyromonas gingivalis ATCC 33277,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000010505.1,2.35489,48.4
Gramella forsetii KT0803,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000060345.1,3.79847,36.6
Ureaplasma parvum serovar 3 str. ATCC 27815,Bacteria;Terrabacteria group;Tenericutes,GCA_000019345.1,0.751679,25.5
Ureaplasma urealyticum serovar 10 str. ATCC 33699,Bacteria;Terrabacteria group;Tenericutes,GCA_000021265.1,0.874478,25.8
Mycoplasma mycoides subsp. capri str. GM12,Bacteria;Terrabacteria group;Tenericutes,GCA_000023685.1,1.08459,23.9
Burkholderia thailandensis E264,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000012365.1,6.72397,67.6468
Phaeobacter gallaeciensis,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_002381365.1,4.34935,59.6102
Octadecabacter antarcticus 307,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000155675.2,4.87548,54.5768
Aliivibrio fischeri,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_004359415.1,4.2869,38.3
Burkholderia oklahomensis C6786,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000959365.1,7.13502,67.0684
Clostridium botulinum,Bacteria;Terrabacteria group;Firmicutes,GCA_003058345.1,3.85851,28.2
Burkholderia multivorans ATCC BAA-247,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000959525.1,6.32275,67.2008
Ochrobactrum anthropi,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000742955.1,4.90116,56.0831
Rickettsia prowazekii str. Chernikova,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000277165.1,1.1098,29
Borreliella burgdorferi Bol26,Bacteria;Spirochaetes;Spirochaetia,GCA_000181575.2,1.32143,28.593
Treponema pallidum subsp. pertenue str. SamoaD,Bacteria;Spirochaetes;Spirochaetia,GCA_000246755.1,1.13933,52.8
Rhizobium leguminosarum bv. viciae WSM1455,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000271805.1,7.55751,61
Anaeromyxobacter dehalogenans 2CP-1,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_000022145.1,5.02933,74.7
Clavibacter michiganensis subsp. michiganensis,Bacteria;Terrabacteria group;Actinobacteria,GCA_009739655.1,3.36555,72.5474
Methanococcus voltae A3,Archaea;Euryarchaeota;Methanomada group,GCA_000006175.2,1.93639,28.6
Leptospira biflexa,Bacteria;Spirochaetes;Spirochaetia,GCA_004769835.1,3.83772,39.1
Brucella canis ATCC 23365,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000018525.1,3.31277,57.2364
Mycobacterium marinum E11,Bacteria;Terrabacteria group;Actinobacteria,GCA_000723425.2,6.45052,65.7699
Burkholderia ambifaria AMMD,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000203915.1,7.52857,66.7904
Brucella suis 1330,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000007505.1,3.31517,57.2364
Enterococcus faecalis,Bacteria;Terrabacteria group;Firmicutes,GCA_003319925.1,2.92505,37.4
Bifidobacterium dentium JCM 1195 = DSM 20436,Bacteria;Terrabacteria group;Actinobacteria,GCA_001042595.1,2.63567,58.5
Bradyrhizobium japonicum USDA 6,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000284375.1,9.20738,63.7
Gluconacetobacter diazotrophicus PA1 5,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000021325.1,3.91495,66.3446
Microcystis aeruginosa NIES-298,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,GCA_010196425.1,5.01508,42.5859
Methanobrevibacter smithii ATCC 35061,Archaea;Euryarchaeota;Methanomada group,GCA_000016525.1,1.85316,31
Streptococcus dysgalactiae,Bacteria;Terrabacteria group;Firmicutes,GCA_901543725.1,2.2005,39.6
Rhizobium etli,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_003259755.1,6.61893,61.2
Chromohalobacter salexigens DSM 3043,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000055785.1,3.69665,63.9
Bartonella tribocorum CIP 105476,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000196435.1,2.6424,38.8655
Hungateiclostridium thermocellum DSM 2360,Bacteria;Terrabacteria group;Firmicutes,GCA_001692755.1,3.57758,39.2
Chthoniobacter flavus,Bacteria;PVC group;Verrucomicrobia,GCA_004341915.1,7.79326,61.1
Streptomyces clavuligerus,Bacteria;Terrabacteria group;Actinobacteria,GCA_001693675.1,7.59076,72.6162
Borreliella garinii,Bacteria;Spirochaetes;Spirochaetia,GCA_001922545.1,1.15611,28.1739
Chlamydia psittaci 6BC,Bacteria;PVC group;Chlamydiae,GCA_000204255.1,1.17922,39.0603
Bifidobacterium animalis subsp. lactis,Bacteria;Terrabacteria group;Actinobacteria,GCA_003428375.1,1.94414,60.5
Bacillus amyloliquefaciens,Bacteria;Terrabacteria group;Firmicutes,GCA_013122255.1,4.02665,46.5
Streptococcus mutans,Bacteria;Terrabacteria group;Firmicutes,GCA_001558215.1,1.98444,36.9
Comamonas testosteroni,Bacteria;Proteobacteria;Betaproteobacteria,GCA_900461225.1,5.52375,61.4
Neisseria gonorrhoeae,Bacteria;Proteobacteria;Betaproteobacteria,GCA_001047275.1,2.17324,52.6
Enterococcus faecium,Bacteria;Terrabacteria group;Firmicutes,GCA_010120755.1,2.8343,37.952
Bacillus mycoides,Bacteria;Terrabacteria group;Firmicutes,GCA_000160975.1,5.67481,35.2
Yersinia frederiksenii ATCC 33641,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000754805.1,4.94187,47
Yersinia kristensenii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000834865.1,4.49657,47.4
Alteromonas macleodii,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_002849875.1,4.86739,44.5537
Stenotrophomonas maltophilia R551-3,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000020665.1,4.57397,66.3
Bifidobacterium bifidum NCIMB 41171,Bacteria;Terrabacteria group;Actinobacteria,GCA_000273525.1,2.21639,62.8
Micrococcus luteus NCTC 2665,Bacteria;Terrabacteria group;Actinobacteria,GCA_000023205.1,2.5011,73
Helicobacter pullorum,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_900450955.1,1.78799,34.4
Helicobacter canadensis,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_902381655.1,1.62384,33.7
Streptococcus equi subsp. zooepidemicus,Bacteria;Terrabacteria group;Firmicutes,GCA_000026605.1,2.14987,41.5
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000007105.1,2.05636,46.3
Saccharolobus solfataricus,Archaea;TACK group;Crenarchaeota,GCA_003852155.1,2.65814,35.8
Glaesserella parasuis SH0165,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000021885.1,2.26916,40
Mycobacterium leprae,Bacteria;Terrabacteria group;Actinobacteria,GCA_003253775.1,3.18711,57.8
Acetobacter pasteurianus NBRC 101655,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000241585.3,3.10099,52.7589
Pasteurella multocida,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003061265.1,2.27764,40.5
Lactobacillus rhamnosus GG,Bacteria;Terrabacteria group;Firmicutes,GCA_000026505.1,3.01011,46.7
Francisella philomiragia,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000833255.1,2.15205,32.3925
Thermomicrobium roseum DSM 5159,Bacteria;Terrabacteria group;Chloroflexi,GCA_000021685.1,2.92074,64.2598
Fibrobacter succinogenes,Bacteria;FCB group;Fibrobacteres,GCA_902756345.1,3.35745,50.6
Vibrio splendidus,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003345295.1,5.50839,44.1197
Brucella ceti TE10759-12,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000590795.1,3.27803,57.2708
Enterococcus gallinarum,Bacteria;Terrabacteria group;Firmicutes,GCA_002140495.1,3.39993,40.5
Enterococcus casseliflavus,Bacteria;Terrabacteria group;Firmicutes,GCA_012102315.1,3.54537,42.8
Brucella melitensis bv. 1 str. 16M,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000007125.1,3.29493,57.2357
Dickeya dadantii 3937,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000147055.1,4.9228,56.3
Bacillus megaterium,Bacteria;Terrabacteria group;Firmicutes,GCA_002574795.1,5.50258,37.8
Burkholderia glumae,Bacteria;Proteobacteria;Betaproteobacteria,GCA_009931375.1,6.69168,68.194
[Clostridium] spiroforme DSM 1552,Bacteria;Terrabacteria group;Firmicutes,GCA_000154805.1,2.50788,28.6
Absiella dolichum DSM 3991,Bacteria;Terrabacteria group;Firmicutes,GCA_000154285.1,2.19105,38.1
Catenibacterium mitsuokai,Bacteria;Terrabacteria group;Firmicutes,GCA_902362575.1,2.53236,34.2
Roseburia faecis,Bacteria;Terrabacteria group;Firmicutes,GCA_001405615.1,3.56782,43
Blautia hydrogenotrophica,Bacteria;Terrabacteria group;Firmicutes,GCA_001404935.1,3.53172,44.9
Marvinbryantia formatexigens,Bacteria;Terrabacteria group;Firmicutes,GCA_900102475.1,4.52182,49.6
Alistipes putredinis DSM 17216,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000154465.1,2.55068,53.3
Anaerofustis stercorihominis DSM 17244,Bacteria;Terrabacteria group;Firmicutes,GCA_000154825.1,2.2847,33.3
Anaerotruncus colihominis DSM 17241,Bacteria;Terrabacteria group;Firmicutes,GCA_000154565.1,3.71969,54.2
Intestinibacter bartlettii,Bacteria;Terrabacteria group;Firmicutes,GCA_902362795.1,3.14171,28.6
Erysipelatoclostridium ramosum,Bacteria;Terrabacteria group;Firmicutes,GCA_003462905.1,3.7033,31.2
Collinsella stercoris DSM 13279,Bacteria;Terrabacteria group;Actinobacteria,GCA_000156215.1,2.47543,62.7
[Ruminococcus] lactaris CC59_002D,Bacteria;Terrabacteria group;Firmicutes,GCA_000507785.1,3.0869,42.5
Phocaeicola coprocola,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_003458565.1,3.55378,40.8
Bacteroides intestinalis DSM 17393,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000172175.1,6.0526,42.8
Coprococcus comes,Bacteria;Terrabacteria group;Firmicutes,GCA_001406395.1,3.28434,42.4
Streptococcus infantarius,Bacteria;Terrabacteria group;Firmicutes,GCA_900459445.1,1.97469,37.8
Clostridium sporogenes,Bacteria;Terrabacteria group;Firmicutes,GCA_001020205.1,4.14299,28
Proteus penneri,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_003144535.1,3.77189,37.8
Providencia stuartii MRSN 2154,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000259175.1,4.40211,41.3
Blautia obeum,Bacteria;Terrabacteria group;Firmicutes,GCA_902364415.1,3.68355,41.3
[Ruminococcus] torques,Bacteria;Terrabacteria group;Firmicutes,GCA_001405315.1,3.00415,42
Parvimonas micra,Bacteria;Terrabacteria group;Firmicutes,GCA_000800295.1,1.62701,28.6
Schaalia odontolytica,Bacteria;Terrabacteria group;Actinobacteria,GCA_001462375.1,2.33612,65.9
Pseudoflavonifractor capillosus ATCC 29799,Bacteria;Terrabacteria group;Firmicutes,GCA_000169255.2,4.24108,59.1
[Clostridium] scindens ATCC 35704,Bacteria;Terrabacteria group;Firmicutes,GCA_004295125.1,3.65804,46.2
Anaerobutyricum hallii,Bacteria;Terrabacteria group;Firmicutes,GCA_900209925.1,3.51567,38.6
[Ruminococcus] gnavus ATCC 29149,Bacteria;Terrabacteria group;Firmicutes,GCA_009831375.1,3.54919,42.9
Subdoligranulum variabile DSM 15176,Bacteria;Terrabacteria group;Firmicutes,GCA_000157955.1,3.24547,57.9
[Clostridium] symbiosum,Bacteria;Terrabacteria group;Firmicutes,GCA_013304055.1,4.9988,48
Anaerostipes caccae,Bacteria;Terrabacteria group;Firmicutes,GCA_902362985.1,3.25763,44.4
Dorea longicatena,Bacteria;Terrabacteria group;Firmicutes,GCA_013301325.1,3.05344,41.1
Eubacterium ventriosum,Bacteria;Terrabacteria group;Firmicutes,GCA_003470845.1,2.51161,34.4
Desulfovibrio piger,Bacteria;Proteobacteria;delta/epsilon subdivisions,GCA_900116045.1,2.80753,64.2
Bacteroides caccae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001405955.1,5.33758,42.4
[Clostridium] bolteae 90A9,Bacteria;Terrabacteria group;Firmicutes,GCA_000371705.1,6.37738,49.6
Collinsella aerofaciens,Bacteria;Terrabacteria group;Actinobacteria,GCA_005844325.1,2.18851,59.8
Bacteroides ovatus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005845145.1,6.80503,42
Parabacteroides merdae,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_005844535.1,4.82074,45.4
Bacteroides uniformis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_001406135.1,4.88323,46.5
Ruminococcus callidus,Bacteria;Terrabacteria group;Firmicutes,GCA_902385595.1,2.95772,49.5
Coprococcus eutactus ATCC 27759,Bacteria;Terrabacteria group;Firmicutes,GCA_000154425.1,3.10299,43.1
Bacteroides stercoris ATCC 43183,Bacteria;FCB group;Bacteroidetes/Chlorobi group,GCA_000154525.1,4.00983,45.8
Treponema denticola ATCC 35405,Bacteria;Spirochaetes;Spirochaetia,GCA_000008185.1,2.8432,37.9
Azotobacter vinelandii DJ,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000021045.1,5.36532,65.7
Mesorhizobium loti,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_013170705.1,6.87035,63.1
Sinorhizobium meliloti,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_004003925.1,6.76302,62.1
Methylococcus capsulatus str. Bath,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000008325.1,3.30456,63.6
Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,GCA_900636925.1,5.19976,68.3
Bordetella parapertussis,Bacteria;Proteobacteria;Betaproteobacteria,GCA_004323615.1,4.78708,68.1
Bordetella pertussis 18323,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000306945.1,4.04385,67.7
[Haemophilus] ducreyi,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_001647815.1,1.62216,37.9
Rickettsia conorii str. Malish 7,Bacteria;Proteobacteria;Alphaproteobacteria,GCA_000007025.1,1.26876,32.4
Dichelobacter nodosus VCS1703A,Bacteria;Proteobacteria;Gammaproteobacteria,GCA_000015345.1,1.38935,44.4
Nitrosomonas europaea ATCC 19718,Bacteria;Proteobacteria;Betaproteobacteria,GCA_000009145.1,2.81209,50.7
